open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1581321600000,25.070,25.907,24.810,25.414,123402.26,72483.28,1855646.80359
1581322500000,25.414,25.800,25.399,25.710,64601.99,44522.09,1141956.08729
1581323400000,25.720,25.750,24.837,24.900,70540.90,22943.31,581467.95985
1581324300000,24.910,25.149,24.780,25.053,44228.38,26957.47,673240.12510
1581325200000,25.054,25.054,24.500,24.610,27107.29,9783.06,240828.64663
1581326100000,24.645,24.828,24.204,24.326,26847.32,11433.93,281237.57588
1581327000000,24.301,24.575,24.100,24.500,22075.60,10735.45,261818.46865
1581327900000,24.501,24.751,24.500,24.650,17857.92,8118.77,200165.29521
1581328800000,24.653,24.653,24.320,24.320,27670.33,10414.79,255014.31040
1581329700000,24.315,24.406,24.031,24.326,24401.21,11252.22,272084.46567
1581330600000,24.338,24.825,24.300,24.762,19676.14,11881.55,290949.73438
1581331500000,24.779,24.898,24.600,24.816,21567.72,10930.10,270432.43785
1581332400000,24.819,24.890,24.650,24.687,15354.59,7982.43,197569.82793
1581333300000,24.699,24.700,24.333,24.425,24095.73,9954.84,243842.63557
1581334200000,24.401,24.467,24.262,24.437,23856.77,13130.84,319884.32049
1581335100000,24.431,24.555,24.419,24.555,13253.42,6811.00,166697.84899
1581336000000,24.554,24.566,24.380,24.531,20050.64,9548.21,233607.13212
1581336900000,24.513,24.739,24.498,24.670,17125.76,9813.66,241384.24023
1581337800000,24.670,24.919,24.670,24.919,15915.59,9242.20,228938.40326
1581338700000,24.910,25.079,24.825,24.907,31287.45,15526.88,387242.35786
1581339600000,24.893,25.387,24.891,25.322,32800.36,18710.89,470259.47264
1581340500000,25.325,25.401,25.019,25.074,57310.54,26308.48,663133.56259
1581341400000,25.057,25.115,24.900,25.093,30484.18,13496.24,337721.84832
1581342300000,25.095,25.096,24.994,25.048,14297.64,6002.77,150267.91811
1581343200000,25.047,25.047,24.700,24.831,29483.70,13238.10,328617.32072
1581344100000,24.831,24.988,24.829,24.950,12991.54,5729.75,142675.39755
1581345000000,24.951,25.200,24.945,25.133,23514.44,13053.75,327438.45150
1581345900000,25.136,25.152,24.894,24.899,31980.27,11033.02,275399.32097
1581346800000,24.894,25.120,24.889,25.068,18161.46,11090.34,277228.45924
1581347700000,25.094,25.266,24.999,25.150,26017.91,13107.19,329848.06417
1581348600000,25.150,25.295,25.111,25.111,23090.47,10458.37,263744.32983
1581349500000,25.111,25.206,25.087,25.113,17694.07,6830.42,171888.67619
1581350400000,25.105,25.500,25.105,25.454,29503.16,20892.98,529740.05121
1581351300000,25.490,25.550,25.400,25.508,26940.35,10837.10,276259.50035
1581352200000,25.507,25.541,25.337,25.395,20789.08,7634.16,194183.51468
1581353100000,25.392,25.406,25.155,25.230,28054.58,10880.79,274631.20816
1581354000000,25.230,25.293,25.066,25.132,25890.53,10212.64,256728.30995
1581354900000,25.141,25.214,25.132,25.200,13149.72,7348.27,184877.72337
1581355800000,25.201,25.352,25.200,25.288,16463.08,8644.56,218722.08394
1581356700000,25.289,25.500,25.287,25.464,12786.96,5429.79,137927.11749
1581357600000,25.463,25.472,25.343,25.460,12268.40,5371.98,136444.61667
1581358500000,25.455,25.486,25.424,25.453,8763.64,3689.89,93934.07283
1581359400000,25.453,25.463,25.409,25.439,7450.31,2564.92,65233.86281
1581360300000,25.433,25.433,25.273,25.273,10296.97,2820.31,71505.28322
1581361200000,25.280,25.442,25.263,25.442,9688.26,5575.31,141350.03091
1581362100000,25.427,25.503,25.408,25.439,10594.08,4761.67,121235.64079
1581363000000,25.431,25.437,25.350,25.402,15452.47,6066.49,153952.74865
1581363900000,25.402,25.430,25.365,25.411,6249.04,3198.33,81214.97111
1581364800000,25.411,25.636,25.404,25.555,14812.07,9706.81,247699.35319
1581365700000,25.553,25.621,25.497,25.551,9136.16,4583.69,117175.58047
1581366600000,25.551,25.579,25.505,25.518,6823.60,2806.06,71675.87908
1581367500000,25.528,25.538,25.383,25.383,9728.85,3857.84,98193.33735
1581368400000,25.383,25.410,25.200,25.248,13276.11,4898.80,124092.07600
1581369300000,25.206,25.349,25.201,25.346,12342.89,6685.72,169090.93493
1581370200000,25.346,25.373,25.310,25.340,5489.64,2702.43,68483.06276
1581371100000,25.340,25.340,25.274,25.322,6219.41,2019.79,51096.24804
1581372000000,25.322,25.339,25.200,25.200,7672.13,2187.04,55275.83407
1581372900000,25.200,25.208,25.100,25.100,16889.30,6629.83,166777.82377
1581373800000,25.100,25.102,24.923,24.947,14718.81,2895.94,72482.46426
1581374700000,24.945,25.213,24.944,25.123,11026.94,6537.42,164088.42921
