open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1581292800000,25.070,25.907,24.031,25.189,1405091.86,681570.43,17124784.72072
1581379200000,25.190,25.864,24.250,25.705,1783061.99,839241.36,21013932.47279
1581465600000,25.705,26.980,25.347,26.451,1311285.47,594070.81,15360037.39104
1581552000000,26.452,27.397,24.580,25.456,1451755.42,632990.22,16354203.04796
1581638400000,25.455,26.697,25.043,26.384,1271237.03,578046.04,14918441.97979
1581724800000,26.373,26.600,23.250,24.239,1601280.92,670389.14,16994292.50519
1581811200000,24.225,25.302,21.780,23.389,1775025.82,762628.69,18085622.29304
1581897600000,23.355,23.623,21.519,23.452,2036473.78,937048.60,21101331.18952
1581984000000,23.462,24.519,22.726,24.094,1293664.26,587059.35,13875199.31518
1582070400000,24.107,24.392,21.391,22.367,1411342.31,595106.20,14115267.03162
1582156800000,22.362,22.723,21.000,22.191,1244980.04,556666.52,12222099.67247
1582243200000,22.172,22.933,21.815,22.209,972969.37,432694.95,9649135.66125
1582329600000,22.221,22.374,21.510,22.008,736112.42,304459.08,6695899.64154
1582416000000,22.007,22.997,21.977,22.868,1007250.63,478787.67,10848458.91429
1582502400000,22.871,23.288,21.512,22.110,1270055.15,564632.63,12662112.22312
1582588800000,22.111,22.130,20.139,20.340,1444417.18,639582.80,13396734.67417
1582675200000,20.345,20.547,17.870,18.729,2294044.51,1030505.18,19630803.24996
1582761600000,18.723,19.635,17.701,19.154,1684886.46,813093.13,15317946.33747
1582848000000,19.150,19.755,17.920,19.001,1718113.47,804471.18,15151212.52170
1582934400000,19.001,20.300,18.802,19.257,1734548.17,815330.79,15899056.05056
1583020800000,19.250,19.913,18.500,18.900,2131016.51,1036487.16,20001973.34254
1583107200000,18.909,20.051,18.768,19.900,1782168.95,849233.90,16601746.89022
1583193600000,19.901,20.382,19.330,19.685,1607025.05,760733.49,15006358.04405
1583280000000,19.684,20.273,19.540,19.969,1399024.21,693311.58,13782380.12401
1583366400000,19.969,21.472,19.965,20.754,1955491.71,940013.61,19648378.44390
1583452800000,20.750,21.770,20.692,21.379,1659669.26,816250.33,17310788.42564
1583539200000,21.379,21.500,19.778,20.269,1393981.18,621434.35,12878819.46475
1583625600000,20.270,20.270,16.715,16.897,2287497.85,1000422.85,18597404.43680
1583712000000,16.886,17.465,15.628,16.589,3446761.01,1662683.21,27601614.94002
1583798400000,16.603,17.450,16.289,16.850,2417921.41,1156257.07,19500495.75619
1583884800000,16.868,17.129,15.423,16.591,2157510.13,1058843.11,17381777.75020
1583971200000,16.591,16.628,8.873,9.277,8451829.08,3823338.32,46764754.39734
1584057600000,9.230,11.708,6.236,10.958,11581062.71,5833180.20,56592849.38240
1584144000000,10.952,11.300,9.875,10.135,2772315.36,1383116.94,14851734.43188
1584230400000,10.140,11.329,9.971,10.393,2073135.23,1046374.73,10968188.56521
1584316800000,10.388,10.404,8.380,9.422,4585965.54,2371466.17,22091783.15698
1584403200000,9.432,10.531,9.326,10.241,2676624.01,1310598.91,13239521.95570
1584489600000,10.237,10.425,9.658,10.392,2128780.82,1085066.00,11000469.69021
1584576000000,10.393,12.699,10.245,12.267,2968162.77,1554659.72,17536374.20195
1584662400000,12.263,13.697,10.307,11.911,3028060.57,1371506.04,17008103.68306
1584748800000,11.912,12.439,11.272,12.101,2299755.97,1158133.83,13778157.15601
