open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1581321600000,25.070,25.907,24.780,25.053,302773.53,166906.15,4252310.97583
1581325200000,25.054,25.054,24.100,24.650,93888.13,40071.21,984049.98637
1581328800000,24.653,24.898,24.031,24.816,93315.40,44478.66,1088480.94830
1581332400000,24.819,24.890,24.262,24.555,76560.51,37879.11,927994.63298
1581336000000,24.554,25.079,24.380,24.907,84379.44,44130.95,1091172.13347
1581339600000,24.893,25.401,24.891,25.048,134892.72,64518.38,1621382.80166
1581343200000,25.047,25.200,24.700,24.899,97969.95,43054.62,1074130.49074
1581346800000,24.894,25.295,24.889,25.113,84963.91,41486.32,1042709.52943
1581350400000,25.105,25.550,25.105,25.230,105287.17,50245.03,1274814.27440
1581354000000,25.230,25.500,25.066,25.464,68290.29,31635.26,798255.23475
1581357600000,25.463,25.486,25.273,25.273,38779.32,14447.10,367117.83553
1581361200000,25.280,25.503,25.263,25.411,41983.85,19601.80,497753.39146
1581364800000,25.411,25.636,25.383,25.383,40500.68,20954.40,534744.15009
1581368400000,25.383,25.410,25.200,25.322,37328.05,16306.74,412762.32173
1581372000000,25.322,25.339,24.923,25.123,50307.18,18250.23,458624.55131
1581375600000,25.123,25.462,25.123,25.189,53871.73,27604.47,698481.46267
1581379200000,25.190,25.264,24.800,24.941,109972.80,47791.61,1195715.84594
1581382800000,24.966,25.136,24.895,24.967,56539.23,26350.89,658265.54253
1581386400000,24.967,25.131,24.550,24.666,67344.62,25019.47,620928.11608
1581390000000,24.666,24.890,24.479,24.722,97342.86,40034.23,987543.61448
1581393600000,24.718,24.722,24.350,24.389,74331.86,32614.73,799718.70604
1581397200000,24.381,24.571,24.375,24.375,58706.58,25323.85,618950.56540
1581400800000,24.376,24.563,24.250,24.331,67720.00,29537.53,720324.58912
1581404400000,24.330,24.560,24.280,24.530,48743.18,22882.62,558888.26329
1581408000000,24.530,24.823,24.475,24.801,39530.60,20387.94,501204.24696
