open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1577836800000,7189.43,7190.52,7172.94,7176.26,1037.337,383.751,2755105.07629
1577837700000,7176.22,7179.41,7170.69,7172.36,707.833,274.610,1970287.07110
1577838600000,7172.79,7179.45,7170.61,7174.83,325.246,162.536,1166259.80196
1577839500000,7174.51,7179.36,7170.15,7171.55,378.633,175.301,1257718.81418
1577840400000,7171.43,7188.77,7171.10,7186.60,555.389,336.827,2418307.45086
1577841300000,7186.60,7210,7184.16,7205.90,1332.077,857.992,6176779.86057
1577842200000,7205.89,7225,7201.04,7206.63,1494.201,845.923,6102754.21162
1577843100000,7206.62,7211.42,7200,7210.24,483.371,300.136,2162452.53041
1577844000000,7210.38,7217.76,7206.46,7207.30,530.697,227.512,1640855.09948
1577844900000,7207.33,7232.99,7207.33,7221.50,1007.359,635.165,4587198.92088
1577845800000,7221.59,7231.11,7221.59,7231.11,768.542,412.061,2977730.80172
1577846700000,7231.10,7239.30,7228,7237.99,921.767,499.407,3612685.81911
1577847600000,7237.41,7239.74,7218.29,7222.55,815.615,342.057,2471670.39024
1577848500000,7222.56,7233.61,7222.56,7233.19,424.105,236.797,1711735.71124
1577849400000,7233.08,7238.46,7215.05,7215.37,722.195,301.608,2180118.46792
1577850300000,7215.37,7226.24,7215,7221.65,551.392,364.603,2632694.11903
1577851200000,7221.80,7225.41,7213,7215.30,302.668,153.680,1109653.41009
1577852100000,7215.30,7218.10,7211.22,7216.74,401.124,209.405,1510829.50513
1577853000000,7216.74,7225.07,7216.74,7217,239.420,106.605,769849.94720
1577853900000,7217,7223.77,7213.73,7213.86,233.454,117.174,845751.39809
1577854800000,7213.86,7224.09,7213.86,7218.27,231.250,122.886,887229.53359
1577855700000,7218.56,7218.81,7214.14,7215.97,234.681,104.686,755395.69397
1577856600000,7215.76,7219.06,7214,7216.76,169.310,108.651,784119.00265
1577857500000,7216.61,7223.16,7215.37,7220.31,292.980,181.171,1307952.90244
1577858400000,7220.31,7225,7218.77,7224.67,255.978,172.619,1246802.34184
1577859300000,7224.79,7230,7223.91,7229.28,454.434,223.063,1612109.06503
1577860200000,7229.21,7229.80,7222.85,7224.84,293.667,147.217,1063881.78551
1577861100000,7224.99,7224.99,7217.60,7221,279.478,125.712,907693.01299
1577862000000,7220.99,7226.98,7219.90,7226.98,274.118,216.874,1566489.21499
1577862900000,7226.26,7227.20,7224.03,7226.76,217.954,122.091,882301.01363
1577863800000,7227,7227.20,7195.36,7195.36,1258.696,412.410,2971757.20075
1577864700000,7195.36,7207.71,7193.52,7205.26,599.139,331.216,2385710.77184
1577865600000,7205.26,7206.29,7188.19,7190.81,800.538,312.281,2247310.67566
1577866500000,7190.78,7192.42,7181,7186.30,857.648,331.675,2383646.92138
1577867400000,7186.29,7189.38,7178.08,7181.48,652.977,223.188,1603739.44684
1577868300000,7181.49,7200.06,7174,7195.24,1074.186,596.761,4288890.53897
1577869200000,7195.23,7204.99,7188,7189.69,785.325,373.969,2691126.71287
1577870100000,7189.18,7193,7185.83,7192.87,325.346,160.221,1152070.26151
1577871000000,7192.80,7199.18,7191.55,7194.16,313.560,162.580,1169819.86695
1577871900000,7194.54,7194.57,7182.76,7184.45,263.054,53.641,385588.81917
1577872800000,7184.46,7199.55,7181.43,7198.62,468.976,300.074,2157705.30822
1577873700000,7198.99,7201.85,7195.96,7200.69,368.990,169.269,1218647.27505
1577874600000,7200.99,7204,7194.24,7202.71,215.847,127.677,919099.55106
1577875500000,7202.84,7205,7195.44,7197.25,168.718,80.280,578082.16444
1577876400000,7197.27,7204.55,7196,7203.61,248.967,135.213,973768.40838
1577877300000,7203.61,7234.57,7200.05,7218,1282.275,769.567,5555532.64321
1577878200000,7217.75,7229.37,7214.37,7223.50,667.384,381.449,2754241.24561
1577879100000,7223.99,7224.26,7185.01,7192.65,1542.502,645.783,4646942.60309
1577880000000,7192.74,7212,7191.79,7200.52,745.880,378.611,2726978.02165
1577880900000,7200.55,7216.05,7200.17,7206.85,430.800,240.434,1733427.33635
1577881800000,7206.99,7219,7200.99,7216.29,647.874,363.377,2620852.26488
1577882700000,7216.24,7224.26,7211.53,7220.72,595.115,349.605,2523693.06978
1577883600000,7220.72,7224.07,7212,7216.32,371.194,177.255,1279270.41970
1577884500000,7216.32,7218.66,7210,7217.23,359.474,183.274,1322271.20776
1577885400000,7216.99,7226.90,7216.28,7221.92,712.423,433.719,3132393.36060
1577886300000,7221.92,7222,7212.83,7215.54,383.186,167.027,1205618.27266
1577887200000,7215.49,7218.34,7204,7211.32,669.301,310.264,2237130.45279
1577888100000,7211.49,7228,7211.48,7226.73,761.766,443.097,3199123.66966
1577889000000,7226.74,7228.47,7216.05,7222.69,818.104,437.485,3159667.45112
1577889900000,7222.82,7222.82,7212.65,7216.80,297.161,148.926,1074604.01847
1577890800000,7216.80,7226.55,7216.80,7219.85,367.072,206.965,1494492.84220
1577891700000,7220,7225.61,7215,7223.80,308.588,185.307,1337806.12417
1577892600000,7223.80,7260.43,7220.38,7231.32,2553.745,1475.055,10676201.68729
1577893500000,7231.32,7235,7215,7229.49,988.845,456.199,3295791.98300
1577894400000,7229.66,7233.18,7220.03,7227.05,677.353,407.915,2948058.75001
1577895300000,7227.02,7227.10,7210.81,7215.42,654.241,241.496,1742556.90167
1577896200000,7215,7225.59,7214.12,7225,340.455,208.034,1502052.11178
1577897100000,7224.99,7247,7221.29,7241.91,781.761,586.655,4245610.36147
1577898000000,7241.91,7248,7221.88,7237.82,937.584,454.268,3286540.17902
1577898900000,7237.81,7245.99,7231,7241.98,668.944,388.381,2811540.13119
1577899800000,7241.68,7241.68,7230.29,7230.94,476.456,219.752,1589708.42127
1577900700000,7230.95,7239.88,7230.50,7233.80,394.823,243.568,1762047.44111
1577901600000,7233.87,7240,7228.88,7239.69,346.785,153.657,1111652.96017
1577902500000,7239.69,7241.95,7233.01,7233.01,374.940,135.216,978743.37901
1577903400000,7233,7233,7222,7230.73,649.066,331.122,2392826.41538
1577904300000,7230.73,7239.57,7226.12,7237.47,456.877,261.418,1890778.82039
1577905200000,7237.83,7237.83,7224,7229.89,305.645,148.611,1074439.45440
1577906100000,7229.99,7232.50,7223.15,7225.16,287.212,91.313,659888.86335
1577907000000,7225,7233,7224.04,7224.99,265.992,133.285,963295.09772
1577907900000,7225.50,7228.91,7223.94,7226.35,169.728,99.504,719009.70593
1577908800000,7226.56,7233.77,7226.56,7228.88,207.789,98.700,713592.62778
1577909700000,7228.88,7236.50,7223.09,7236.03,543.350,345.275,2496831.07934
1577910600000,7236.03,7242,7229,7230.66,504.715,284.541,2058860.44851
1577911500000,7230.66,7234,7226.78,7233.30,220.680,93.869,678656.90777
1577912400000,7233.32,7238.79,7225,7229.21,442.141,203.467,1471462.07770
1577913300000,7229.21,7232.45,7225,7226.03,320.854,129.899,938911.51062
1577914200000,7226.03,7232.10,7225,7230,195.654,113.457,819956.08961
1577915100000,7230.05,7234.57,7228.69,7229.71,252.235,136.760,989005.32053
1577916000000,7229.71,7229.71,7210,7219.99,943.126,468.968,3385750.38736
1577916900000,7220,7225.82,7212.23,7212.23,355.872,189.982,1371420.12134
1577917800000,7212.43,7212.43,7185.56,7193.81,1575.182,521.085,3750896.09513
1577918700000,7193.81,7206.20,7183.26,7195.01,1487.126,671.315,4829557.82552
1577919600000,7195,7195.16,7174,7180.65,1050.732,364.872,2621035.55387
1577920500000,7181,7194.51,7175.22,7191.69,943.639,530.454,3810667.47981
1577921400000,7191.69,7194.72,7180.07,7190.50,695.313,339.983,2443424.73858
1577922300000,7190.66,7199.50,7190.50,7197.57,434.128,245.404,1765778.01777
1577923200000,7197.57,7197.83,7182.19,7192.76,566.244,221.468,1592680.95287
1577924100000,7192.76,7197,7191.52,7196.24,215.911,122.570,881878.62217
1577925000000,7196.10,7205,7195.17,7205,277.466,202.615,1458678.71989
1577925900000,7204.99,7209.59,7201.30,7208.29,453.186,271.774,1958394.53850
1577926800000,7208.29,7208.30,7194.78,7195.10,547.444,175.336,1262511.51842
1577927700000,7194.51,7197.72,7187.11,7187.12,455.296,189.790,1364989.50461
1577928600000,7187.13,7192.45,7184.41,7185.78,494.187,219.049,1574482.69399
1577929500000,7186.51,7192.07,7183.01,7188.73,375.469,176.820,1270908.33160
1577930400000,7188.64,7188.64,7155,7166.81,2890.933,1109.401,7948735.09292
1577931300000,7166.84,7171,7155.43,7164.03,962.128,507.826,3638006.13465
1577932200000,7164.04,7170,7155,7168.53,856.024,463.688,3321363.29148
1577933100000,7168.30,7168.70,7163.32,7166.56,397.769,203.643,1459405.42513
1577934000000,7166.92,7166.92,7155,7156.80,460.533,181.284,1297665.85542
1577934900000,7156.80,7163.89,7152.47,7155.01,543.961,260.838,1866617.62057
1577935800000,7155.01,7158.65,7132.75,7141.86,1356.134,436.368,3118692.27811
1577936700000,7142,7148.11,7121,7127.29,2511.215,1027.623,7328341.13535
1577937600000,7126.94,7154.78,7112.06,7147.07,2422.436,1229.759,8778826.31265
1577938500000,7147.48,7159.30,7141.51,7142.55,949.729,482.659,3452176.22064
1577939400000,7142.57,7153,7128.68,7143,887.508,420.664,3002755.95849
1577940300000,7142.63,7149.99,7135,7139.36,461.106,253.215,1808502.58679
