open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1577836800000,7189.43,7190.52,7170.15,7171.55,2449.049,996.198,7149370.76353
1577840400000,7171.43,7225,7171.10,7210.24,3865.038,2340.878,16860294.05346
1577844000000,7210.38,7239.30,7206.46,7237.99,3228.365,1774.145,12818470.64119
1577847600000,7237.41,7239.74,7215,7221.65,2513.307,1245.065,8996218.68843
1577851200000,7221.80,7225.41,7211.22,7213.86,1176.666,586.864,4236084.26051
1577854800000,7213.86,7224.09,7213.86,7220.31,928.221,517.394,3734697.13265
1577858400000,7220.31,7230,7217.60,7221,1283.557,668.611,4830486.20537
1577862000000,7220.99,7227.20,7193.52,7205.26,2349.907,1082.591,7806258.20121
1577865600000,7205.26,7206.29,7174,7195.24,3385.349,1463.905,10523587.58285
1577869200000,7195.23,7204.99,7182.76,7184.45,1687.285,750.411,5398605.66050
1577872800000,7184.46,7205,7181.43,7197.25,1222.531,677.300,4873534.29877
1577876400000,7197.27,7234.57,7185.01,7192.65,3741.128,1932.012,13930484.90029
1577880000000,7192.74,7224.26,7191.79,7220.72,2419.669,1332.027,9604950.69266
1577883600000,7220.72,7226.90,7210,7215.54,1826.277,961.275,6939553.26072
1577887200000,7215.49,7228.47,7204,7216.80,2546.332,1339.772,9670525.59204
1577890800000,7216.80,7260.43,7215,7229.49,4218.250,2323.526,16804292.63666
1577894400000,7229.66,7247,7210.81,7241.91,2453.810,1444.100,10438278.12493
1577898000000,7241.91,7248,7221.88,7233.80,2477.807,1305.969,9449836.17259
1577901600000,7233.87,7241.95,7222,7237.47,1827.668,881.413,6374001.57495
1577905200000,7237.83,7237.83,7223.15,7226.35,1028.577,472.713,3416633.12140
1577908800000,7226.56,7242,7223.09,7233.30,1476.534,822.385,5947941.06340
1577912400000,7233.32,7238.79,7225,7229.71,1210.884,583.583,4219334.99846
1577916000000,7229.71,7229.71,7183.26,7195.01,4361.306,1851.350,13337624.42935
1577919600000,7195,7199.50,7174,7197.57,3123.812,1480.713,10640905.79003
1577923200000,7197.57,7209.59,7182.19,7208.29,1512.807,818.427,5891632.83343
1577926800000,7208.29,7208.30,7183.01,7188.73,1872.396,760.995,5472892.04862
1577930400000,7188.64,7188.64,7155,7166.56,5106.854,2284.558,16367509.94418
1577934000000,7166.92,7166.92,7121,7127.29,4871.843,1906.113,13611316.88945
1577937600000,7126.94,7159.30,7112.06,7139.36,4720.779,2386.297,17042261.07857
1577941200000,7139.65,7149.37,7123.87,7135.44,2392.655,1104.871,7885930.08526
1577944800000,7135.44,7145.36,7119.10,7132,2327.214,1225.769,8742840.29048
1577948400000,7132.00,7137.91,7101.00,7107.56,6169.713,2798.175,19917221.95044
1577952000000,7107.53,7153.26,7106.75,7148.56,5149.400,3351.551,23918458.48193
1577955600000,7148.56,7163.99,7133.04,7159.41,3137.868,1771.132,12659341.36186
1577959200000,7159.41,7175.00,7150.58,7157.81,4615.755,2127.618,15242770.27271
1577962800000,7157.35,7164.95,7136.24,7136.24,2448.788,1056.259,7551142.70156
1577966400000,7136.36,7160.00,7136.33,7155.08,1989.615,1134.152,8109176.51230
1577970000000,7155.10,7159.00,7103.00,7127.24,7844.971,3409.506,24285560.54198
1577973600000,7127.50,7154.06,7120.00,7131.00,4008.742,2153.443,15363123.64874
1577977200000,7131.00,7146.85,7115.03,7126.25,2793.228,1227.834,8753265.93028
1577980800000,7126.25,7143.29,7030.00,7049.61,14012.552,5862.380,41503195.93342
1577984400000,7049.62,7050.23,6922.00,6966.86,20436.850,9754.338,68049135.08410
1577988000000,6966.99,6985.00,6947.00,6969.85,5091.415,2600.964,18118444.78560
1577991600000,6970.66,6991.00,6958.00,6979.44,4260.499,2233.864,15585273.62463
1577995200000,6979.45,6980.00,6938.36,6944.95,4156.265,1913.338,13312052.00655
1577998800000,6944.95,6982.83,6944.43,6973.50,2211.264,1345.887,9373681.93547
1578002400000,6973.85,6974.27,6960.00,6970.36,1455.040,761.242,5303304.82906
1578006000000,6970.61,6970.61,6950.01,6962.04,2709.164,1415.549,9852144.65515
1578009600000,6962.34,6962.80,6906.24,6934.27,4841.639,2241.402,15551441.33150
1578013200000,6934.27,6944.01,6872.78,6884.74,7655.442,3154.700,21789688.82594
1578016800000,6884.72,6960.00,6863.44,6952.58,8368.489,4519.648,31291987.63841
1578020400000,6952.59,6958.50,6935.74,6947.35,2555.491,1251.579,8694717.81353
1578024000000,6947.44,7300.00,6945.84,7204.37,31534.103,17947.008,127755199.86566
1578027600000,7204.86,7244.38,7163.16,7215.59,10344.656,5081.681,36565822.52293
1578031200000,7214.42,7220.00,7185.00,7197.00,5048.502,2619.667,18861229.52059
