open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1577836800000,129.12,129.12,128.65,128.87,5453.601,2992.092,385568.19710
1577837700000,128.88,128.99,128.66,128.75,3878.638,2015.334,259548.90222
1577838600000,128.74,128.98,128.74,128.82,2724.349,1318.271,169844.56649
1577839500000,128.83,128.92,128.62,128.82,2891.103,1381.928,177922.13016
1577840400000,128.81,129.19,128.76,129.12,4991.533,2681.382,345820.64036
1577841300000,129.09,130.50,129.05,130.22,14931.572,9051.072,1175021.70534
1577842200000,130.22,130.61,130.12,130.24,8932.033,4990.204,650360.75267
1577843100000,130.24,130.57,129.78,130.57,5900.118,3205.609,417352.24681
1577844000000,130.58,130.97,130.30,130.41,5757.496,3051.158,398529.54316
1577844900000,130.40,130.88,130.37,130.72,7951.782,2684.543,350774.65195
1577845800000,130.73,130.88,130.55,130.67,3673.341,1982.771,259248.85050
1577846700000,130.66,130.84,130.60,130.80,4482.327,2580.700,337408.84212
1577847600000,130.80,130.82,130.02,130.15,4563.177,1552.248,202184.77230
1577848500000,130.15,130.45,130.13,130.39,2922.821,1403.412,182877.89460
1577849400000,130.38,130.40,130.02,130.02,3572.089,1328.579,172972.82968
1577850300000,130.02,130.28,129.88,130.09,5765.084,3296.297,428865.77594
1577851200000,130.10,130.40,130.09,130.16,3024.237,1680.273,218837.33512
1577852100000,130.15,130.28,130.10,130.11,1548.623,611.052,79555.47794
1577853000000,130.11,130.63,130.11,130.43,4794.426,1977.244,257881.54513
1577853900000,130.43,130.52,130.12,130.15,1989.953,936.356,122027.17303
1577854800000,130.15,130.36,130.08,130.14,3106.608,1353.344,176189.30773
1577855700000,130.16,130.32,130.05,130.26,1960.794,1060.026,138031.38970
1577856600000,130.25,130.28,130.20,130.25,1123.272,511.534,66627.82140
1577857500000,130.28,130.37,130.20,130.23,1660.534,699.420,91123.56422
1577858400000,130.23,130.57,130.22,130.41,3505.747,1489.238,194161.77790
1577859300000,130.41,130.67,130.37,130.65,3732.991,2040.095,266294.63048
1577860200000,130.65,130.67,130.53,130.58,1421.090,736.950,96231.22726
1577861100000,130.57,130.57,130.21,130.36,4038.343,1739.094,226695.06980
1577862000000,130.36,130.46,130.29,130.44,1629.596,1085.699,141560.50051
