open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1577836800000,129.12,129.12,128.62,128.82,14947.691,7707.625,992883.79597
1577840400000,128.81,130.61,128.76,130.57,34755.256,19928.267,2588555.34518
1577844000000,130.58,130.97,130.30,130.80,21864.946,10299.172,1345961.88773
1577847600000,130.80,130.82,129.88,130.09,16823.171,7580.536,986901.27252
1577851200000,130.10,130.63,130.09,130.15,11357.239,5204.925,678301.53122
1577854800000,130.15,130.37,130.05,130.23,7851.208,3624.324,471972.08305
1577858400000,130.23,130.67,130.21,130.36,12698.171,6005.377,783382.70544
1577862000000,130.36,130.60,130,130.17,14907.105,7926.916,1032474.02414
1577865600000,130.15,130.24,129.75,130.24,14712.157,6372.486,828194.51592
1577869200000,130.24,130.49,130.01,130.03,7567.510,3301.827,430111.41746
1577872800000,130.02,130.68,129.97,130.59,12393.915,6249.176,814843.89211
1577876400000,130.59,131.88,130.50,130.64,35693.375,19860.364,2605598.00094
1577880000000,130.63,131.58,130.63,131.53,15314.035,9235.363,1211065.79045
1577883600000,131.57,131.97,131.18,131.55,15767.101,7789.997,1024997.65714
1577887200000,131.55,132.24,131.16,131.82,21989.252,11230.797,1480919.47693
1577890800000,131.87,132.49,131.52,131.97,22613.919,10855.072,1432419.69834
1577894400000,132,132.90,131.71,132.79,26228.975,14399.560,1903693.02404
1577898000000,132.80,132.96,132.22,132.31,23039.829,10393.366,1377293.62051
1577901600000,132.31,132.38,131.45,131.94,17695.871,7676.756,1012864.72569
1577905200000,131.94,132.04,131.53,131.79,11759.809,5781.663,761808.22943
1577908800000,131.79,132.18,131.60,132.09,14358.920,7427.870,979844.67257
1577912400000,132.09,132.25,131.57,131.77,18456.592,8764.708,1156180.45712
1577916000000,131.77,131.77,129.80,130.21,45005.500,20284.876,2646735.43667
1577919600000,130.21,130.78,129.54,130.62,28262.382,14591.848,1899136.61467
1577923200000,130.63,130.75,130.20,130.60,15892.610,8391.716,1094451.93662
1577926800000,130.61,130.61,130.09,130.17,13015.260,6768.638,882114.41743
1577930400000,130.13,130.13,128.86,129.70,38688.044,19077.276,2469887.48836
1577934000000,129.70,129.70,128.75,129.09,23757.320,11858.695,1532046.64567
1577937600000,129.07,129.83,128.67,129.55,28032.828,13875.658,1795492.29665
1577941200000,129.54,129.71,129.30,129.58,12684.201,6541.389,846958.20358
1577944800000,129.58,129.96,129.15,129.39,11052.361,5916.088,766732.93276
1577948400000,129.39,129.65,128.96,129.28,23377.733,11809.051,1526494.33586
1577952000000,129.20,130.22,129.17,130.14,19059.405,10044.990,1304563.45299
1577955600000,130.14,130.15,129.57,129.96,16525.189,8935.998,1159662.61935
1577959200000,129.92,130.24,129.61,129.66,19073.926,9402.936,1221821.45343
1577962800000,129.65,129.87,129.32,129.48,14682.568,5127.345,664490.23826
1577966400000,129.47,129.94,129.45,129.88,13974.150,8428.768,1093175.95546
1577970000000,129.89,129.95,128.79,129.31,24088.025,9815.624,1269249.37769
1577973600000,129.31,129.87,129.11,129.30,24048.495,12869.148,1665249.05686
1577977200000,129.30,129.64,129.26,129.48,12979.273,6568.359,850273.18044
1577980800000,129.50,129.65,126.79,127.45,74728.673,29364.212,3756986.39736
1577984400000,127.45,127.60,126.25,127.36,67653.230,31518.193,3999977.80400
1577988000000,127.38,127.63,127.07,127.46,13454.653,7220.803,919640.38748
1577991600000,127.44,127.56,127.05,127.53,14985.382,7877.700,1002832.88820
1577995200000,127.53,127.55,126.70,127.11,16137.423,8445.203,1073435.87633
1577998800000,127.11,127.79,127.11,127.65,8499.159,5168.637,658635.16901
1578002400000,127.65,127.65,127.22,127.29,5568.846,2556.969,325519.23722
1578006000000,127.32,127.41,126.86,127.11,11624.170,6257.239,795243.00225
1578009600000,127.11,127.51,126.75,127.00,16609.221,8096.745,1028829.22168
1578013200000,126.99,127.08,125.78,125.96,19971.062,8367.461,1058461.83290
1578016800000,125.96,127.01,125.80,126.91,23903.653,14670.709,1856859.56040
1578020400000,126.90,127.00,126.59,126.76,8096.512,4049.474,513272.91440
1578024000000,126.81,130.18,126.81,129.23,102989.591,58820.941,7574758.32994
1578027600000,129.23,129.95,128.69,129.18,32311.229,17253.368,2229634.88998
1578031200000,129.18,129.31,128.75,129.16,20776.304,10582.011,1365452.07872
1578034800000,129.15,129.43,128.69,128.82,24113.917,9349.681,1206950.42279
1578038400000,128.84,132.97,128.66,132.11,113733.546,57570.066,7553268.99115
1578042000000,132.12,132.81,131.66,132.32,47668.575,23177.504,3063918.54618
1578045600000,132.31,132.66,131.48,132.00,37473.557,17948.746,2369645.20787
1578049200000,132.00,132.53,131.83,132.42,21476.944,11150.375,1473720.71991
1578052800000,132.40,132.80,131.87,132.19,24560.354,13133.285,1738141.52654
1578056400000,132.19,133.95,132.19,133.47,36045.677,21222.240,2822705.38873
1578060000000,133.48,133.78,130.94,131.59,67475.896,29883.980,3941791.69552
1578063600000,131.62,132.47,131.57,132.45,21778.628,11307.460,1491076.45131
1578067200000,132.48,133.74,131.92,133.40,76657.809,39678.174,5276076.55622
1578070800000,133.40,134.94,132.66,133.93,63250.414,34129.039,4563138.25054
1578074400000,133.92,134.16,133.17,133.45,36637.170,17521.295,2341964.94201
1578078000000,133.42,133.48,132.17,133.41,37046.840,17666.703,2348550.51155
1578081600000,133.42,133.98,132.96,133.39,26841.389,13827.019,1845460.94644
1578085200000,133.39,133.84,132.21,132.44,26764.338,11955.888,1589920.90004
1578088800000,132.44,133.35,132.15,133.00,16553.192,8401.479,1114677.93606
1578092400000,133.02,135.07,132.87,134.29,48387.779,26395.510,3538875.28314
1578096000000,134.31,134.73,133.38,133.63,27508.789,12963.048,1736228.23820
1578099600000,133.63,133.63,132.75,132.97,19071.612,10393.864,1382627.59880
1578103200000,132.98,133.41,132.74,133.41,15459.079,7724.419,1027518.82467
1578106800000,133.41,133.47,133.11,133.25,15655.292,7635.144,1017671.32084
1578110400000,133.25,133.84,132.88,133.63,20311.249,9758.592,1301887.20031
1578114000000,133.60,134.00,133.41,133.65,18574.425,9554.314,1277215.55503
1578117600000,133.65,134.20,133.59,133.89,18920.309,10554.422,1413086.25801
1578121200000,133.88,134.21,133.30,133.84,19567.045,9690.475,1296737.23478
1578124800000,133.84,134.04,133.42,133.55,15685.305,7735.587,1034456.41471
1578128400000,133.55,134.08,133.34,134.05,21806.512,11363.246,1519425.59516
1578132000000,134.06,134.10,133.30,133.32,21292.373,10031.462,1342205.86473
1578135600000,133.35,133.77,132.95,133.71,19257.449,9699.914,1294512.40974
1578139200000,133.71,133.71,132.41,132.71,18795.141,7618.871,1014227.34466
1578142800000,132.73,133.20,132.52,132.84,18235.436,10295.003,1368138.78694
1578146400000,132.83,133.30,132.81,133.04,10676.306,5948.698,791478.01211
1578150000000,133.03,133.56,132.90,133.21,13516.398,5233.423,697520.50649
1578153600000,133.19,133.38,132.91,133.10,13378.947,6598.490,878596.68822
1578157200000,133.10,134.80,133.05,134.51,33333.711,19033.985,2552615.97481
1578160800000,134.52,135.80,132.70,133.45,79866.770,40550.559,5448457.81403
1578164400000,133.44,134.24,133.04,133.65,36319.013,17702.066,2365192.53521
