open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1748601000000,33.38700,33.86300,33.28300,33.54900,74998.20,39274.67,1320594.8067000
1748601900000,33.54600,33.61800,33.23200,33.42100,64407.89,28712.92,960054.6181900
1748602800000,33.42700,33.49200,33.01300,33.05400,43546.33,17719.93,589694.0318300
1748603700000,33.04300,33.13400,32.63300,32.65700,68707.02,33498.10,1099858.3935200
1748604600000,32.65900,32.89700,32.58400,32.75600,41319.09,22417.26,734941.3279300
1748605500000,32.75600,33.10700,32.75600,32.98700,38926.87,24287.77,800742.1349800
1748606400000,32.98800,33.32400,32.68400,32.69300,98912.28,43061.28,1423390.3834300
1748607300000,32.69400,33.06100,32.63400,32.78400,62975.78,33824.87,1111693.4492300
1748608200000,32.78400,33.41900,32.75100,33.35800,67271.39,40792.50,1354999.2970300
1748609100000,33.35800,33.57300,33.31200,33.37900,86848.42,33751.95,1129399.9707800
1748610000000,33.38000,33.67300,32.92000,33.08100,88322.33,39380.94,1313566.7617800
1748610900000,33.07900,33.10000,32.76700,32.78500,49064.98,27138.07,893667.4375400
1748611800000,32.78400,32.93900,32.51700,32.75400,57643.31,30932.65,1012380.8772300
1748612700000,32.75900,32.98400,32.36500,32.37800,62828.15,30738.79,1003966.7190000
1748613600000,32.37800,32.60900,32.27300,32.32900,52135.78,22984.54,745938.5667600
1748614500000,32.32900,32.46100,31.77400,31.85300,68920.61,29695.21,951101.5690500
1748615400000,31.85300,32.11400,31.39400,31.60700,90931.43,33608.82,1069665.5730900
1748616300000,31.60200,31.85000,31.36900,31.78900,115802.24,74511.35,2355448.0103100
1748617200000,31.78800,32.60000,31.69500,32.51600,103848.91,66403.88,2136627.9154100
1748618100000,32.51400,32.78500,32.05900,32.72600,101328.50,69192.79,2237858.1379400
1748619000000,32.72400,32.77200,32.40000,32.67600,61989.94,31765.98,1034491.5696300
1748619900000,32.67300,32.70500,32.34700,32.51400,45623.20,19692.34,640377.4405400
1748620800000,32.51800,32.84000,32.50700,32.64500,55244.40,32894.18,1075812.5485800
1748621700000,32.64300,32.72900,32.07100,32.11400,89738.68,37674.05,1219063.6372500
1748622600000,32.10900,32.62300,31.71300,32.52400,181313.91,98061.69,3158513.8938300
1748623500000,32.52400,32.61800,31.97200,32.40000,144944.94,79684.22,2575162.0146300
1748624400000,32.40800,33.03000,32.24800,32.83600,108520.17,58779.08,1923982.6655700
