open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1748599200000,33.38700,33.86300,33.23200,33.42100,139406.09,67987.59,2280649.4248900
1748602800000,33.42700,33.49200,32.58400,32.98700,192499.31,97923.06,3225235.8882600
1748606400000,32.98800,33.57300,32.63400,33.37900,316007.87,151430.60,5019483.1004700
1748610000000,33.38000,33.67300,32.36500,32.37800,257858.77,128190.45,4223581.7955500
1748613600000,32.37800,32.60900,31.36900,31.78900,327790.06,160799.92,5122153.7192100
1748617200000,31.78800,32.78500,31.69500,32.51400,312790.55,187054.99,6049355.0635200
1748620800000,32.51800,32.84000,31.71300,32.40000,471241.93,248314.14,8028552.0942900
1748624400000,32.40800,33.21300,32.24800,33.09900,329543.46,159268.12,5235096.3889900
1748628000000,33.09800,34.21200,33.05700,34.20100,367784.58,204723.45,6901971.3876600
1748631600000,34.20200,34.34800,33.36300,33.38600,337166.67,156003.65,5306875.0941700
1748635200000,33.38600,33.81700,33.11500,33.13000,226862.05,111697.87,3738200.8641000
1748638800000,33.13000,33.78200,33.01800,33.53800,157924.23,95346.34,3189537.0958900
1748642400000,33.54200,33.66100,32.12700,32.28900,218774.03,95622.02,3154396.1943900
1748646000000,32.29300,32.84000,31.99800,32.81600,210576.97,110874.62,3595746.1138600
1748649600000,32.83000,33.66300,32.76400,32.98000,384810.57,200825.14,6668029.1750900
1748653200000,32.99100,33.08000,32.10200,32.10200,329275.54,156682.74,5115448.3601600
1748656800000,32.10500,32.20000,30.93100,31.02000,381653.71,177120.48,5610334.1968000
1748660400000,31.02300,31.77700,30.88500,31.67000,276989.20,159712.99,4997402.0251200
1748664000000,31.67000,32.21700,31.10100,31.89600,227052.17,123828.29,3929999.6717700
1748667600000,31.89100,32.10000,31.37600,31.38900,210270.99,100024.91,3169109.8386400
1748671200000,31.39000,32.01900,31.35700,31.93900,149286.42,81411.79,2582452.4738900
1748674800000,31.93800,31.99400,31.01500,31.51400,239518.28,124991.11,3921799.7831800
1748678400000,31.51400,31.71600,31.09900,31.14500,213142.11,101568.68,3190867.2406700
1748682000000,31.14000,31.52100,30.93100,31.04000,173336.14,84741.61,2642199.2844800
1748685600000,31.04600,31.32400,30.72400,31.31700,165431.91,75509.16,2345577.3921000
1748689200000,31.32100,31.65600,31.18100,31.38200,134912.36,70781.52,2226069.1546000
1748692800000,31.38200,32.41200,31.36200,32.38600,265313.33,145245.71,4646852.4033300
1748696400000,32.38500,32.90500,32.33400,32.69800,317740.22,166246.77,5424973.8256800
1748700000000,32.69700,32.97700,32.23900,32.83800,301034.18,157302.93,5139866.4003000
1748703600000,32.83700,33.24100,32.47300,32.66300,423256.50,187043.60,6153390.8305000
1748707200000,32.66200,33.17000,32.54100,32.91600,219456.82,105715.08,3480082.2156200
1748710800000,32.91600,32.93100,32.42100,32.50700,155846.49,79850.77,2605823.7835100
1748714400000,32.51100,32.90700,32.40100,32.90300,102519.36,48177.83,1576019.6739900
1748718000000,32.90400,33.13100,32.74400,32.91300,123245.64,57955.93,1909365.0176200
1748721600000,32.91000,33.00500,32.71100,32.78000,65760.87,32330.72,1063562.9156200
1748725200000,32.77700,33.39100,32.77000,33.26300,161406.02,86795.14,2873247.0138500
1748728800000,33.26400,33.41100,33.00300,33.02600,83608.70,42711.15,1419988.7898500
1748732400000,33.02300,33.16900,32.65300,32.67100,107938.05,46556.45,1531172.0414200
1748736000000,32.67100,32.91000,32.52200,32.64600,108105.40,56817.30,1858196.2777800
1748739600000,32.64100,32.85900,32.28100,32.41700,104979.70,55238.39,1796564.0405300
1748743200000,32.41700,32.66700,32.15700,32.59200,89243.78,46575.37,1510672.5120200
1748746800000,32.59200,32.70900,32.17800,32.57800,109792.65,63950.06,2069925.7247500
1748750400000,32.57700,33.08800,32.38300,33.02000,115904.67,61756.44,2027442.8144400
1748754000000,33.02700,33.40000,32.86500,33.09000,163063.64,76260.01,2530349.9586900
1748757600000,33.08900,33.24500,32.50600,32.56300,143637.41,68297.79,2238681.4293300
1748761200000,32.56700,32.62900,32.24400,32.48700,102470.83,46419.79,1504047.4817400
1748764800000,32.48700,32.51700,32.12900,32.42600,99680.58,56146.26,1814504.2436900
1748768400000,32.42500,32.50600,31.80300,32.00700,190316.00,89155.06,2859680.8707700
1748772000000,32.00900,32.10900,31.63200,31.79000,158212.41,69445.98,2211234.2692500
1748775600000,31.78200,32.15100,31.63100,31.84500,146425.28,71404.55,2278044.7233100
1748779200000,31.84300,31.98600,31.50500,31.75600,131736.94,65944.48,2090898.5195400
1748782800000,31.75400,32.14800,31.67100,31.88500,121232.07,66227.46,2116776.0468800
1748786400000,31.89000,32.36900,31.89000,32.03100,177404.47,93954.35,3021045.3296600
1748790000000,32.03100,32.46200,31.84300,32.44500,130746.90,75812.60,2443266.6982400
1748793600000,32.44300,33.31300,32.35100,32.94400,244199.02,142735.22,4697971.3232900
1748797200000,32.94600,33.15000,32.75500,33.11400,95212.63,41482.88,1366828.2062400
1748800800000,33.11200,33.22000,32.55000,32.92200,133197.85,66522.67,2185054.8861000
1748804400000,32.92200,33.35900,32.72300,33.34600,85926.06,52355.88,1731846.5077100
1748808000000,33.34700,33.85100,33.20000,33.41000,162017.92,82335.18,2766784.0177400
1748811600000,33.41700,34.11900,33.31700,34.06200,160370.73,95910.07,3237759.3846000
1748815200000,34.06100,34.15800,33.66300,33.92300,138513.65,61920.81,2103157.1566500
1748818800000,33.91900,34.27900,33.86600,34.15200,93640.86,52258.34,1784020.5648500
1748822400000,34.15600,34.34700,33.73000,33.79800,158366.65,61895.47,2105471.7461300
1748826000000,33.80200,33.99900,33.65400,33.69800,74086.08,34987.50,1183202.4765100
1748829600000,33.69800,33.75000,33.41600,33.47000,105867.75,49602.75,1667114.4034100
1748833200000,33.47100,33.73900,33.23100,33.49500,104076.27,54638.79,1829676.5668200
1748836800000,33.49300,33.60400,33.24800,33.30000,63227.47,28987.76,968824.2055100
1748840400000,33.30000,33.38500,32.61000,32.92200,183502.47,81670.96,2691925.3639300
1748844000000,32.92000,33.41600,32.74300,33.27400,100987.35,62776.67,2079684.1387600
1748847600000,33.27300,33.77900,33.24400,33.62200,162205.86,84658.35,2836857.6992000
1748851200000,33.62200,34.13000,33.23500,33.27000,255772.38,121106.43,4084675.2824300
1748854800000,33.27600,33.28600,32.68700,32.79400,249049.30,111443.76,3668211.3401400
1748858400000,32.79500,33.04000,32.58800,32.63700,118690.87,55326.93,1813430.5970100
1748862000000,32.63800,32.84400,32.48300,32.66400,101900.85,53745.95,1755841.2125900
1748865600000,32.66100,33.09600,32.56500,33.02700,133242.79,79621.51,2616894.9517000
1748869200000,33.02700,33.35900,32.41700,32.62200,236833.39,106984.16,3518919.0549500
1748872800000,32.61800,33.49900,32.47000,33.20100,243703.65,130161.91,4300121.4654900
1748876400000,33.19600,33.64400,32.95900,33.62300,155655.73,79321.11,2646363.2185600
