create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-05-30 10:30:00,HYPEUSDT,14088.0100000000000000,473864.3043600000000000,0.51818182,0.80226500,0.61231884,1.30292200
2025-05-30 10:35:00,HYPEUSDT,19421.2300000000000000,652297.3208419600000000,0.67785235,0.87039800,0.67241379,0.94775000
2025-05-30 10:40:00,HYPEUSDT,22069.3200000000000000,740818.6368634000000000,0.67261905,0.87199000,0.63967611,1.00205400
2025-05-30 10:45:00,HYPEUSDT,25849.2500000000000000,864915.9050000000000000,0.74866310,0.79424500,0.58943782,0.68738600
2025-05-30 10:50:00,HYPEUSDT,36271.5900000000000000,1209222.2674200000000000,0.76851852,0.69428900,0.58581560,0.77596100
2025-05-30 10:55:00,HYPEUSDT,40678.2300000000000000,1360853.2044778900000000,0.78278689,0.75535800,0.56457565,0.97610300
2025-05-30 11:00:00,HYPEUSDT,41943.3100000000000000,1395819.9742910600000000,0.71863118,0.76917400,0.54410080,0.85940200
2025-05-30 11:05:00,HYPEUSDT,43117.9700000000000000,1435742.1650600000000000,0.65277778,0.85668700,0.50680628,1.22929000
2025-05-30 11:10:00,HYPEUSDT,45552.7800000000000000,1504749.3643729600000000,0.67013889,0.93853700,0.44357977,0.44652000
2025-05-30 11:15:00,HYPEUSDT,46961.6300000000000000,1542675.7059076400000000,0.67687075,0.88779100,0.40627886,0.54656800
2025-05-30 11:20:00,HYPEUSDT,56040.9300000000000000,1841192.1068250000000000,0.64856230,0.80960500,0.38675958,1.40410900
2025-05-30 11:25:00,HYPEUSDT,63577.2200000000000000,2076888.7013517400000000,0.66875000,0.76188900,0.36850783,1.18881800
2025-05-30 11:30:00,HYPEUSDT,64223.8000000000000000,2110913.6969856600000000,0.59878419,0.81425600,0.37079573,2.03676600
2025-05-30 11:35:00,HYPEUSDT,62777.9800000000000000,2060441.4082916000000000,0.65045593,0.89868100,0.37700965,0.96876100
2025-05-30 11:40:00,HYPEUSDT,63681.5300000000000000,2085888.5151500000000000,0.71028037,0.94860000,0.39570064,0.53828400
2025-05-30 11:45:00,HYPEUSDT,64439.4500000000000000,2119824.4099417100000000,0.69300912,0.97303300,0.41292356,2.25377300
2025-05-30 11:50:00,HYPEUSDT,61354.1700000000000000,2028536.1895872200000000,0.68975904,1.05159300,0.45499587,3.22305900
2025-05-30 11:55:00,HYPEUSDT,62613.3000000000000000,2066705.6539755200000000,0.72189349,0.98091700,0.45853270,0.47702500
2025-05-30 12:00:00,HYPEUSDT,66203.0000000000000000,2195291.4800000000000000,0.81049563,0.93022100,0.51096669,1.76743400
2025-05-30 12:05:00,HYPEUSDT,70772.7400000000000000,2344663.7742987800000000,0.86144578,1.08731800,0.55706985,1.14100100
2025-05-30 12:10:00,HYPEUSDT,71153.2800000000000000,2327786.2934156200000000,0.71351351,1.02745800,0.48230453,0.43653600
2025-05-30 12:15:00,HYPEUSDT,70969.2500000000000000,2332537.1194250400000000,0.90447761,1.05499600,0.53117207,1.00433300
2025-05-30 12:20:00,HYPEUSDT,77665.4500000000000000,2547902.3428297700000000,1.69689119,1.18364400,0.82265625,1.84384100
2025-05-30 12:25:00,HYPEUSDT,80319.3400000000000000,2630886.4509385000000000,1.65822785,1.10866400,0.81930502,0.82863000
2025-05-30 12:30:00,HYPEUSDT,82025.8600000000000000,2727652.0309564200000000,1.56585366,1.07969600,0.78576723,2.03634300
2025-05-30 12:35:00,HYPEUSDT,83208.6900000000000000,2773994.8543657300000000,1.54394299,1.15415400,0.77809592,0.81835800
2025-05-30 12:40:00,HYPEUSDT,85469.9900000000000000,2851480.1832691500000000,1.47404063,1.04978600,0.77136901,2.13058300
