open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1578297600000,0.1970,0.2041,0.1970,0.2041,6306.4,194.8,39.67102
1578301200000,0.2013,0.2222,0.2004,0.2127,6676329.3,2537247.0,530526.06882
1578304800000,0.2127,0.2198,0.2105,0.2146,3681788.3,2512347.1,539756.55003
1578308400000,0.2146,0.2173,0.2120,0.2130,3631936.0,1778667.6,382328.99033
1578312000000,0.2130,0.2180,0.2123,0.2150,4682254.3,2383415.4,511753.61531
1578315600000,0.2150,0.2160,0.2108,0.2120,4161963.4,1474779.6,315767.57670
1578319200000,0.2120,0.2152,0.2109,0.2132,5227252.7,2362719.4,504064.31952
1578322800000,0.2132,0.2149,0.2119,0.2124,3891264.6,1747216.4,372657.74878
1578326400000,0.2124,0.2187,0.2115,0.2175,13965682.0,6653340.4,1438103.65442
1578330000000,0.2174,0.2209,0.2165,0.2186,6639912.5,3503370.6,766602.88110
1578333600000,0.2186,0.2187,0.2172,0.2179,2063679.5,1209133.9,263687.75931
1578337200000,0.2179,0.2206,0.2172,0.2194,4720041.0,2914006.3,638488.42760
1578340800000,0.2195,0.2257,0.2192,0.2241,8911514.6,4667385.5,1041939.66100
1578344400000,0.2241,0.2244,0.2175,0.2179,8493849.5,3110795.6,687045.91565
1578348000000,0.2179,0.2259,0.2169,0.2214,9901276.7,5675148.5,1261318.02767
1578351600000,0.2214,0.2244,0.2213,0.2226,5367168.1,2347887.8,523544.91253
1578355200000,0.2227,0.2297,0.2191,0.2209,8879676.0,3940259.8,886937.77973
1578358800000,0.2209,0.2244,0.2207,0.2224,3430043.5,1840498.7,409458.03089
1578362400000,0.2224,0.2238,0.2187,0.2197,3974844.4,940458.9,208254.19131
1578366000000,0.2196,0.2211,0.2183,0.2196,2380563.1,889660.9,195879.19643
1578369600000,0.2197,0.2200,0.2113,0.2135,12613879.0,6076677.7,1300952.72844
1578373200000,0.2136,0.2162,0.2127,0.2157,3781227.2,2094481.2,449595.16524
1578376800000,0.2157,0.2161,0.2143,0.2157,2137298.8,1563171.1,336301.93372
1578380400000,0.2157,0.2180,0.2155,0.2174,2715228.6,1685809.4,365346.09673
1578384000000,0.2174,0.2180,0.2152,0.2164,2582163.7,1130235.9,245198.48079
1578387600000,0.2164,0.2165,0.2150,0.2151,2347618.2,759878.5,164034.33207
1578391200000,0.2151,0.2166,0.2150,0.2165,2188757.2,1014718.4,219068.63396
1578394800000,0.2166,0.2180,0.2150,0.2154,6322067.9,2531440.0,549396.04540
1578398400000,0.2154,0.2154,0.2100,0.2116,9743869.6,3411275.7,724743.76702
1578402000000,0.2116,0.2122,0.2073,0.2104,8295149.2,3378205.6,710997.71159
1578405600000,0.2104,0.2118,0.2092,0.2099,5122587.1,2573191.6,541895.80772
1578409200000,0.2099,0.2106,0.2071,0.2080,4730979.6,1452929.6,303581.67500
1578412800000,0.2082,0.2112,0.2071,0.2106,5040899.3,2540065.8,533666.33374
1578416400000,0.2106,0.2128,0.2097,0.2120,4860814.6,2222395.1,470600.99614
1578420000000,0.2120,0.2164,0.2116,0.2131,6730311.8,3743000.2,801051.50831
1578423600000,0.2133,0.2196,0.2122,0.2151,12639900.0,6561609.0,1414566.51135
1578427200000,0.2149,0.2168,0.2142,0.2163,4027422.8,1925928.9,415689.57078
1578430800000,0.2162,0.2172,0.2131,0.2135,2990531.7,1083950.1,233359.99149
1578434400000,0.2135,0.2142,0.2111,0.2129,5091023.9,2223249.0,473377.92014
1578438000000,0.2130,0.2153,0.2125,0.2138,2359086.7,1008452.6,215812.20479
1578441600000,0.2138,0.2204,0.2131,0.2184,7925429.7,4194923.5,905322.43930
1578445200000,0.2184,0.2191,0.2156,0.2158,4721716.5,1965286.9,428248.48020
1578448800000,0.2158,0.2168,0.2139,0.2141,2501899.4,700280.8,151035.05671
1578452400000,0.2141,0.2141,0.2121,0.2135,2443036.8,927685.0,197758.70440
1578456000000,0.2135,0.2142,0.2132,0.2138,1499058.9,412514.7,88162.71572
1578459600000,0.2138,0.2149,0.2129,0.2144,2857328.1,1119283.2,239373.85775
1578463200000,0.2144,0.2157,0.2136,0.2143,2161768.7,615359.5,132072.61491
1578466800000,0.2143,0.2150,0.2115,0.2123,3492054.9,1415692.4,302298.86016
1578470400000,0.2124,0.2133,0.2118,0.2130,1977456.8,748595.7,159184.44204
1578474000000,0.2130,0.2131,0.2118,0.2119,3360495.4,944503.9,200792.25851
1578477600000,0.2119,0.2147,0.2119,0.2129,3381464.7,1547946.9,330504.90608
