run_utc,sym,data_end
2026-09-24 19:44:44,BTC,2026-09-24
2026-09-24 19:44:44,ETH,2026-09-24
2026-09-24 19:44:44,XRP,2026-09-24
2026-09-24 19:44:44,BNB,2026-09-24
2026-09-25 08:22:08,BTC,2026-09-25
2026-09-25 08:22:08,ETH,2026-09-25
2026-09-25 08:22:08,XRP,2026-09-25
2026-09-25 08:22:08,BNB,2026-09-25
2026-09-25 09:32:05,BTC,2026-09-25
2026-09-25 09:32:05,ETH,2026-09-25
2026-09-25 09:32:05,XRP,2026-09-25
2026-09-25 09:32:05,BNB,2026-09-25
2026-09-26 02:44:29,BTC,2026-09-25
2026-09-26 02:44:29,ETH,2026-09-25
2026-09-26 02:44:29,XRP,2026-09-25
2026-09-26 02:44:29,BNB,2026-09-25
2026-09-26 08:44:11,BTC,2026-09-26
2026-09-26 08:44:11,ETH,2026-09-26
2026-09-26 08:44:11,XRP,2026-09-26
2026-09-26 08:44:11,BNB,2026-09-26
