sym,entry_time,entry,stop,C3_at_entry,live,first_logged_utc,status,t_out,F063,F080,F040,fund_ok
XRP,2026-07-03 16:00:00,1.1196,1.0212,False,False,2026-09-24 19:44:44,closed,2026-07-07 20:00:00,0.01919654231707475,0.01725994170731865,0.02187360786585524,True
ETH,2026-07-04 16:00:00,1790.43,1564.17,False,False,2026-09-24 19:44:44,closed,2026-07-08 16:00:00,-0.3119394336175211,-0.31325899231105947,-0.3101153377764533,True
BNB,2026-07-04 16:00:00,577.13,537.31,False,False,2026-09-24 19:44:44,closed,2026-07-08 04:00:00,-0.20838200418884953,-0.21082935099949743,-0.20499890712707153,True
BTC,2026-07-04 20:00:00,63268.1,58294.1,False,False,2026-09-24 19:44:44,closed,2026-07-08 16:00:00,-0.3392619541117791,-0.3413970809714494,-0.336310455217529,True
BTC,2026-07-10 12:00:00,64394.2,61520.0,False,False,2026-09-24 19:44:44,closed,2026-07-13 04:00:00,-0.5854935178769767,-0.5892545031946302,-0.5802945087613967,True
BNB,2026-07-11 12:00:00,579.74,560.58,False,False,2026-09-24 19:44:44,closed,2026-07-17 08:00:00,-0.7571046991127349,-0.7621890832463466,-0.7500762857515658,True
ETH,2026-07-11 16:00:00,1814.12,1712.45,False,False,2026-09-24 19:44:44,closed,2026-07-17 08:00:00,0.107745845629978,0.10470142102094877,0.11195431494245955,True
BTC,2026-07-14 16:00:00,64727.5,61806.0,False,False,2026-09-24 19:44:44,closed,2026-07-17 08:00:00,-0.686961019065549,-0.6906711795995212,-0.6818322677391755,True
XRP,2026-07-15 16:00:00,1.1256,1.0526,True,False,2026-09-24 19:44:44,closed,2026-07-23 16:00:00,-0.20014261139726064,-0.20274803605479488,-0.19654099495890448,True
ETH,2026-07-20 12:00:00,1892.43,1802.46,False,False,2026-09-24 19:44:44,closed,2026-07-23 20:00:00,-0.21308600366344563,-0.21664507279760145,-0.20816611397799492,True
BTC,2026-07-20 16:00:00,65570.1,62505.1,False,False,2026-09-24 19:44:44,closed,2026-07-23 16:00:00,-0.22644013553833459,-0.2300595131892318,-0.22143687819738841,True
BNB,2026-07-21 08:00:00,577.22,563.01,True,False,2026-09-24 19:44:44,closed,2026-07-24 16:00:00,-1.0477161220689652,-1.0545366393103446,-1.0382877599999998,True
BNB,2026-07-26 16:00:00,574.19,556.12,False,False,2026-09-24 19:44:44,closed,2026-07-28 00:00:00,-0.4455323209850624,-0.45089828114001534,-0.43811467018262745,True
ETH,2026-07-27 00:00:00,1953.79,1846.17,True,False,2026-09-24 19:44:44,closed,2026-07-28 00:00:00,-0.5926456170014873,-0.5956826412534851,-0.588447377594314,True
ETH,2026-08-05 20:00:00,1916.09,1827.18,False,False,2026-09-24 19:44:44,closed,2026-08-10 16:00:00,-0.4740386137746041,-0.47766394838263465,-0.4690271218164441,True
BNB,2026-08-08 16:00:00,605.53,585.6,False,False,2026-09-24 19:44:44,closed,2026-08-17 00:00:00,-0.1547515210837897,-0.15990717838434163,-0.14762458305067377,True
ETH,2026-08-17 04:00:00,1900.19,1862.11,True,False,2026-09-24 19:44:44,closed,2026-08-31 00:00:00,13.357404120120757,13.347770771906472,13.370720807358152,True
BTC,2026-08-17 16:00:00,64169.9,62484.2,True,False,2026-09-24 19:44:44,closed,2026-08-28 20:00:00,7.810161962987464,7.803016038149117,7.820040153205177,True
XRP,2026-08-19 16:00:00,1.0673,0.9875,True,False,2026-09-24 19:44:44,closed,2026-09-02 00:00:00,3.5171196191102854,3.514543522619057,3.520680693671689,False
BNB,2026-08-19 16:00:00,616.9,600.18,False,False,2026-09-24 19:44:44,closed,2026-08-29 08:00:00,4.171248195334922,4.164612450717697,4.180421136423439,True
XRP,2026-09-03 16:00:00,1.4641,1.3085,False,False,2026-09-24 19:44:44,closed,2026-09-10 12:00:00,-0.5745148168380465,-0.5760660668380465,-0.5723704418380465,False
ETH,2026-09-11 16:00:00,2558.01,2403.33,False,False,2026-09-24 19:44:44,closed,2026-09-15 16:00:00,-1.01010358223429,-1.0128299456943366,-1.0063347856865787,False
XRP,2026-09-14 20:00:00,1.4636,1.3153,False,False,2026-09-24 19:44:44,closed,2026-09-15 20:00:00,-1.0059025859743762,-1.0074953472690493,-1.003700827714093,False
BNB,2026-09-18 04:00:00,751.83,704.34,False,False,2026-09-24 19:44:44,closed,2026-09-23 16:00:00,0.19147889134554505,0.18877043588123676,0.19522293272267707,False
