sym,entry_time,side,ent,lvl,flags,n_flags,live,first_logged_utc,data_end_at_first_log
XRP,2026-07-04 14:45:00,long,FSB,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-07-04 19:00:00,long,ACC,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-07-07 01:00:00,long,ACC,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-07-13 13:45:00,short,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-07-14 16:00:00,long,ACC,SW,"F6,F1",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-07-14 22:30:00,long,FSB,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-07-20 18:15:00,long,FSB,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-07-21 09:00:00,long,ACC,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-07-21 09:00:00,long,ACC,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-07-27 06:15:00,long,FSB,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-07-27 22:30:00,short,FSB,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-07-28 00:15:00,short,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-07-28 02:00:00,short,ACC,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-07-30 13:00:00,long,ACC,PW,"F6,F2",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-08-05 01:45:00,long,FSB,PW,"F6,F2",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-08-06 04:00:00,short,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-08-06 21:00:00,short,ACC,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-08-11 23:30:00,long,FSB,PW,F6,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-08-19 15:00:00,long,FSB,SW,F6,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-08-19 16:00:00,long,ACC,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-08-19 18:00:00,long,ACC,PW,F6,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-08-19 19:00:00,long,ACC,PW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-08-20 00:00:00,long,ACC,PW,F2,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-08-20 13:15:00,long,FSB,SW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-08-21 07:00:00,long,ACC,SW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-08-21 10:00:00,long,FSB,SW,"F6,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-08-24 14:45:00,long,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-08-25 04:00:00,long,ACC,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-09-01 18:45:00,short,FSB,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-09-02 02:00:00,short,FSB,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-09-02 09:30:00,short,FSB,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-09-02 11:00:00,short,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-09-02 12:00:00,short,ACC,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-09-03 15:00:00,long,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-09-03 20:00:00,long,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-09-05 12:00:00,long,ACC,SW,F2,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-09-11 17:00:00,long,ACC,PW,F3,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-09-15 18:45:00,short,FSB,PW,,0,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-09-15 19:00:00,short,FSB,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
XRP,2026-09-15 20:15:00,short,FSB,PW,F4,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BTC,2026-09-18 14:15:00,long,FSB,PW,F3,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-09-18 18:15:00,long,FSB,PW,"F2,F3",2,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-09-21 01:15:00,long,FSB,SW,F2,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
ETH,2026-09-21 08:45:00,long,FSB,PW,F3,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
BNB,2026-09-21 09:45:00,long,FSB,PW,F2,1,False,2026-09-24 19:44:44,2026-09-24 00:00:00
