open_time,open,high,low,close
1577836800000,-0.00077732,-0.00044253,-0.00120564,-0.00080868
1577840400000,-0.00081792,-0.00010016,-0.00101544,-0.00080084
1577844000000,-0.00044548,-0.00044548,-0.00106335,-0.00055405
1577847600000,-0.00041181,-0.00029531,-0.00100491,-0.00062733
1577851200000,-0.00052309,-0.00029619,-0.00088695,-0.00051724
1577854800000,-0.00069357,-0.00029147,-0.00078509,-0.00042777
1577858400000,-0.00042023,-0.00030526,-0.00072033,-0.00057758
1577862000000,-0.00049392,-0.00028158,-0.00085093,-0.00048199
1577865600000,-0.00057752,-0.00010861,-0.00089782,-0.00010861
1577869200000,-0.00061418,-0.00018018,-0.00111561,-0.00085719
1577872800000,-0.00090020,-0.00035626,-0.00096828,-0.00080748
1577876400000,-0.00083745,-0.00032276,-0.00094114,-0.00035807
1577880000000,-0.00054767,-0.00011456,-0.00091711,-0.00063107
1577883600000,-0.00051472,-0.00032055,-0.00085150,-0.00062855
1577887200000,-0.00063710,-0.00002584,-0.00081439,-0.00052874
1577890800000,-0.00056614,-0.00000542,-0.00117851,-0.00028101
1577894400000,-0.00028206,-0.00026056,-0.00086643,-0.00055108
1577898000000,-0.00008456,-0.00001915,-0.00089062,-0.00057280
1577901600000,-0.00045032,-0.00007826,-0.00089195,-0.00031132
1577905200000,-0.00028930,-0.00028930,-0.00072959,-0.00060989
1577908800000,-0.00048535,-0.00019731,-0.00072918,-0.00040997
1577912400000,-0.00043207,-0.00012391,-0.00084357,-0.00052684
1577916000000,-0.00062766,0.00009427,-0.00068261,-0.00011197
1577919600000,-0.00021178,0.00002123,-0.00072496,-0.00029039
1577923200000,-0.00030882,-0.00001073,-0.00052507,-0.00027339
1577926800000,-0.00033167,-0.00020401,-0.00065729,-0.00026775
1577930400000,-0.00045120,0.00003916,-0.00140852,-0.00024998
1577934000000,-0.00027127,0.00003456,-0.00061546,-0.00043436
1577937600000,-0.00020588,0.00061242,-0.00069655,-0.00023998
1577941200000,-0.00039101,0.00001266,-0.00088523,-0.00044589
1577944800000,-0.00044355,-0.00000759,-0.00091618,-0.00040040
1577948400000,-0.00054182,0.00001166,-0.00059671,-0.00045275
1577952000000,-0.00059360,0.00021846,-0.00062092,-0.00052605
1577955600000,-0.00043927,-0.00003328,-0.00057697,-0.00020600
1577959200000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577962800000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577966400000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577970000000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577973600000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577977200000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577980800000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577984400000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577988000000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577991600000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577995200000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1577998800000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578002400000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578006000000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578009600000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578013200000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578016800000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578020400000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578024000000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578027600000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578031200000,-0.00020600,-0.00020600,-0.00020600,-0.00020600
1578034800000,-0.00050161,-0.00002498,-0.00078335,-0.00033091
1578038400000,-0.00047776,0.00036585,-0.00061352,0.00001432
1578042000000,0.00003979,0.00100235,-0.00067541,0.00034065
1578045600000,-0.00024680,0.00074096,-0.00102822,-0.00000974
1578049200000,-0.00037414,0.00045925,-0.00070803,-0.00047068
1578052800000,-0.00000776,0.00015441,-0.00049096,-0.00000586
1578056400000,-0.00003836,0.00018803,-0.00055490,-0.00030091
1578060000000,-0.00024195,0.00032818,-0.00151053,-0.00042017
1578063600000,-0.00046318,-0.00000019,-0.00093016,-0.00021165
1578067200000,-0.00029666,0.00018582,-0.00098251,-0.00037191
1578070800000,-0.00049575,0.00013890,-0.00088826,-0.00021361
1578074400000,-0.00023019,0.00007271,-0.00079503,-0.00037948
1578078000000,-0.00045855,0.00033083,-0.00066045,-0.00057738
1578081600000,-0.00023475,0.00024173,-0.00118770,-0.00048509
1578085200000,-0.00035319,0.00003688,-0.00065950,-0.00004282
1578088800000,-0.00024724,0.00035704,-0.00116838,-0.00035448
1578092400000,-0.00074173,-0.00004273,-0.00092455,-0.00055505
1578096000000,0,0,-0.00107586,-0.00029381
1578099600000,-0.00029600,-0.00023363,-0.00085791,-0.00047983
1578103200000,-0.00049074,-0.00032405,-0.00079321,-0.00052169
1578106800000,-0.00048472,0.00006062,-0.00076806,-0.00042291
1578110400000,-0.00051677,-0.00001194,-0.00082380,-0.00049088
1578114000000,-0.00051183,-0.00011255,-0.00076595,-0.00052322
1578117600000,-0.00040618,-0.00006109,-0.00095537,-0.00044825
1578121200000,-0.00046378,-0.00027855,-0.00092323,-0.00056354
1578124800000,-0.00057089,-0.00025168,-0.00091689,-0.00060659
1578128400000,-0.00060178,-0.00000992,-0.00060178,-0.00021381
1578132000000,-0.00017636,-0.00016223,-0.00086826,-0.00067950
1578135600000,-0.00004028,0.00000051,-0.00060147,-0.00052766
1578139200000,-0.00061804,-0.00020231,-0.00083543,-0.00049522
1578142800000,-0.00007609,-0.00006072,-0.00071052,-0.00034496
1578146400000,-0.00035452,-0.00013941,-0.00079269,-0.00038553
1578150000000,-0.00053897,-0.00008854,-0.00090879,-0.00050485
1578153600000,-0.00055920,-0.00016941,-0.00083300,-0.00061410
1578157200000,-0.00048780,-0.00011751,-0.00091536,-0.00019527
1578160800000,0.00002491,0.00025429,-0.00137025,-0.00033584
1578164400000,-0.00009515,0.00046323,-0.00076028,-0.00034171
1578168000000,-0.00050623,0.00003340,-0.00091947,-0.00043629
1578171600000,-0.00052093,0.00009099,-0.00070642,-0.00068170
1578175200000,-0.00024948,-0.00023249,-0.00064603,-0.00039679
1578178800000,-0.00024363,-0.00002327,-0.00077228,-0.00049217
1578182400000,-0.00033589,0.00016636,-0.00081858,-0.00016891
1578186000000,-0.00043168,0.00068714,-0.00091958,-0.00025398
1578189600000,-0.00006350,0.00032944,-0.00031702,0.00006086
1578193200000,0.00006250,0.00024807,-0.00016222,-0.00003955
