open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1577836800000,7195.24000000,7196.25000000,7175.46000000,7177.02000000,511.81490100,226.15312600,1624289.18965037
1577840400000,7176.47000000,7230.00000000,7175.71000000,7216.27000000,883.05260300,570.72141900,4114804.04969093
1577844000000,7215.52000000,7244.87000000,7211.41000000,7242.85000000,655.15680900,357.18026300,2582513.82508776
1577847600000,7242.66000000,7245.00000000,7220.00000000,7225.01000000,783.72486700,394.81081100,2854987.35529137
1577851200000,7225.00000000,7230.00000000,7215.03000000,7217.27000000,467.81257800,243.51470600,1759053.44836794
1577854800000,7217.26000000,7229.76000000,7216.65000000,7224.21000000,344.67059600,194.89852500,1407859.39772595
1577858400000,7224.24000000,7236.27000000,7221.51000000,7225.62000000,621.46702300,288.40033000,2085093.09034902
1577862000000,7225.88000000,7232.94000000,7199.11000000,7209.83000000,627.34485400,322.89767500,2330844.43949271
1577865600000,7209.83000000,7210.00000000,7180.00000000,7200.64000000,915.54597400,440.88746400,3171436.98880032
1577869200000,7200.29000000,7210.51000000,7188.00000000,7188.77000000,636.38610200,287.51833300,2069473.90367405
1577872800000,7189.07000000,7210.00000000,7185.20000000,7202.00000000,537.76280400,288.27848100,2075906.26940430
1577876400000,7202.01000000,7237.73000000,7188.61000000,7197.20000000,1076.95948100,545.66003600,3936878.73439429
1577880000000,7197.20000000,7233.33000000,7196.15000000,7225.59000000,868.75358000,504.45494500,3640707.64255483
1577883600000,7225.84000000,7231.89000000,7212.88000000,7221.20000000,612.18090200,323.27064500,2334754.37112301
1577887200000,7221.17000000,7234.97000000,7208.17000000,7221.43000000,617.71418500,317.52608800,2293469.15010773
1577890800000,7221.60000000,7255.00000000,7218.29000000,7234.19000000,1393.88879200,941.02744100,6807778.16446788
1577894400000,7234.20000000,7246.42000000,7214.00000000,7245.37000000,881.93278000,454.71804500,3286159.42922481
1577898000000,7244.34000000,7249.99000000,7224.92000000,7236.83000000,1069.21056700,688.26337100,4982656.31043735
1577901600000,7237.02000000,7246.72000000,7225.17000000,7240.67000000,611.69330700,322.84727600,2336417.57816526
1577905200000,7240.80000000,7241.00000000,7225.49000000,7229.48000000,417.74663700,207.23190200,1498924.74940944
1577908800000,7229.48000000,7242.98000000,7224.68000000,7236.73000000,391.83417400,198.75480400,1437840.00843916
1577912400000,7237.26000000,7242.75000000,7227.00000000,7233.17000000,285.45407800,142.47724400,1030734.20312295
1577916000000,7233.32000000,7234.49000000,7186.00000000,7197.99000000,769.03041100,356.77135100,2571743.12046796
1577919600000,7197.62000000,7204.17000000,7175.15000000,7200.85000000,811.25016000,328.69125400,2363459.79288495
1577923200000,7200.77000000,7212.50000000,7185.46000000,7211.02000000,391.35237700,219.08623100,1577568.03905161
1577926800000,7211.04000000,7211.16000000,7185.11000000,7190.99000000,402.66013900,200.65318600,1443624.51097343
1577930400000,7190.99000000,7191.00000000,7155.35000000,7169.02000000,1387.37788600,616.31999800,4417102.36345964
1577934000000,7169.04000000,7169.06000000,7120.37000000,7129.61000000,1557.96443000,703.17502800,5024808.11047959
1577937600000,7129.25000000,7161.00000000,7116.70000000,7142.21000000,1252.44787700,585.15616300,4180224.69166626
1577941200000,7142.61000000,7152.05000000,7126.93000000,7138.93000000,569.50899000,255.59866400,1825253.73063505
1577944800000,7138.93000000,7149.02000000,7121.43000000,7135.97000000,687.60066500,326.44149000,2330464.34617112
1577948400000,7136.04000000,7140.63000000,7105.00000000,7110.57000000,1548.40382300,647.34540300,4608644.13367406
1577952000000,7110.98000000,7157.48000000,7109.11000000,7154.36000000,1114.82512800,525.10134100,3748242.38788132
1577955600000,7153.57000000,7165.00000000,7135.36000000,7162.01000000,840.00132800,503.95777600,3602819.28248269
1577959200000,7162.18000000,7180.00000000,7153.33000000,7161.83000000,1446.21998400,721.57392700,5171512.34772568
1577962800000,7161.89000000,7168.67000000,7139.03000000,7139.79000000,761.15657000,372.30049400,2662942.02870947
1577966400000,7139.73000000,7163.40000000,7139.03000000,7158.29000000,794.03049700,419.73442300,3001938.64426683
1577970000000,7158.86000000,7163.35000000,7107.43000000,7131.15000000,1566.28069300,587.95759100,4192179.40940987
1577973600000,7131.18000000,7157.10000000,7122.34000000,7135.59000000,956.30092500,506.15111100,3612543.46888326
1577977200000,7135.59000000,7152.00000000,7120.00000000,7130.98000000,862.42971800,415.47998000,2964690.74013950
1577980800000,7130.37000000,7146.85000000,7020.00000000,7052.32000000,3604.47415200,1381.17523900,9779570.25234402
1577984400000,7052.32000000,7053.09000000,6924.74000000,6970.04000000,6183.82554000,3059.63614100,21348749.32147337
1577988000000,6970.04000000,6989.68000000,6949.96000000,6974.02000000,1513.59793900,855.75623300,5963783.67776304
1577991600000,6974.02000000,6995.00000000,6960.00000000,6983.27000000,1397.13060200,689.31839800,4810485.02383321
1577995200000,6982.63000000,6983.22000000,6941.27000000,6948.49000000,1138.64633400,498.33434600,3469523.01154902
1577998800000,6948.16000000,6985.00000000,6946.20000000,6977.73000000,665.85671500,357.64408600,2492015.01290193
1578002400000,6977.55000000,6978.24000000,6963.02000000,6974.80000000,568.32402900,283.30760900,1974540.72856368
1578006000000,6974.80000000,6974.80000000,6950.00000000,6965.71000000,741.06759100,410.40648200,2857603.81402699
1578009600000,6965.49000000,6966.47000000,6912.88000000,6937.00000000,1106.73204300,540.40911600,3752333.71028100
1578013200000,6937.00000000,6946.07000000,6878.19000000,6888.85000000,2402.58168400,1060.03336400,7326332.05726061
1578016800000,6888.26000000,6966.80000000,6871.04000000,6956.88000000,2869.99355300,1219.75262200,8450428.94435837
1578020400000,6957.66000000,6966.36000000,6940.00000000,6952.04000000,1246.58950800,790.42618400,5493729.62995557
1578024000000,6952.04000000,7264.71000000,6948.64000000,7210.19000000,9560.89769700,5333.28120100,38097761.60265872
1578027600000,7210.20000000,7249.00000000,7168.48000000,7220.47000000,3575.77096500,1664.40199800,11984700.10713506
1578031200000,7220.49000000,7225.00000000,7190.14000000,7202.22000000,2075.25916000,1178.02364100,8487381.37962676
1578034800000,7202.06000000,7232.00000000,7185.04000000,7203.21000000,2185.37688400,1205.43434100,8695762.96987356
1578038400000,7202.28000000,7297.29000000,7202.28000000,7260.60000000,3976.53450900,1973.20628100,14317041.90044787
1578042000000,7260.64000000,7358.88000000,7256.56000000,7348.42000000,5469.03063200,2770.95700100,20262285.32994336
1578045600000,7349.30000000,7371.92000000,7281.30000000,7312.25000000,3924.46241400,2031.21387800,14885400.16303040
1578049200000,7312.26000000,7346.00000000,7306.61000000,7340.46000000,1826.85746600,1054.22131600,7725680.33110307
1578052800000,7340.46000000,7350.19000000,7303.14000000,7322.78000000,1717.22262000,897.96389000,6584329.21108697
1578056400000,7324.10000000,7380.00000000,7311.59000000,7348.87000000,1906.46899800,1164.18671300,8546209.30930311
1578060000000,7348.36000000,7362.31000000,7229.30000000,7254.73000000,4583.64311900,2025.43659600,14732230.45810529
1578063600000,7255.49000000,7322.44000000,7252.48000000,7320.18000000,2371.65079200,1389.52840600,10124983.69689626
1578067200000,7320.17000000,7405.00000000,7293.10000000,7386.03000000,5852.32693400,3053.03153200,22482413.94967173
1578070800000,7388.21000000,7403.20000000,7335.21000000,7355.26000000,2201.22306300,1275.36580600,9393686.41821483
1578074400000,7355.23000000,7369.47000000,7330.32000000,7342.96000000,1422.53160200,690.97923400,5076955.46040494
1578078000000,7342.95000000,7352.33000000,7280.00000000,7343.08000000,2259.00287800,1076.91757200,7886089.41175485
1578081600000,7343.62000000,7361.00000000,7297.01000000,7316.99000000,1546.01318200,812.46745300,5953352.36749794
1578085200000,7317.01000000,7335.00000000,7262.68000000,7283.00000000,1227.92914500,576.86847300,4217244.77246865
1578088800000,7281.69000000,7320.54000000,7260.01000000,7300.56000000,1407.54526500,746.19545100,5439215.09984980
1578092400000,7301.32000000,7346.08000000,7291.75000000,7344.96000000,1712.85633800,1065.19420400,7797565.57079987
1578096000000,7345.00000000,7350.00000000,7289.98000000,7302.24000000,1240.40648400,638.58482500,4674982.41677796
1578099600000,7304.96000000,7312.58000000,7280.85000000,7309.16000000,821.32123900,385.80082900,2816706.44240979
1578103200000,7308.71000000,7328.99000000,7296.18000000,7327.83000000,868.28171500,480.70270400,3514344.60271422
1578106800000,7328.21000000,7339.69000000,7318.56000000,7333.11000000,763.77539700,364.40663900,2671265.77368834
1578110400000,7333.14000000,7338.46000000,7312.65000000,7334.86000000,691.83320500,350.86769200,2570685.59771596
1578114000000,7334.59000000,7369.28000000,7325.00000000,7344.69000000,1306.73878500,686.85943200,5045356.36727312
1578117600000,7344.70000000,7367.88000000,7340.00000000,7354.96000000,1168.09703600,623.61341200,4585244.98361740
1578121200000,7354.95000000,7363.63000000,7327.32000000,7348.11000000,1352.88086500,738.57006100,5425429.78363615
1578124800000,7348.04000000,7365.00000000,7330.00000000,7346.59000000,1272.74322500,754.21728400,5541046.30271424
1578128400000,7346.40000000,7369.18000000,7339.28000000,7363.88000000,1084.11063300,632.44311500,4649101.30288025
1578132000000,7364.32000000,7369.63000000,7304.36000000,7318.30000000,1807.55155200,901.63355000,6628279.00853527
1578135600000,7318.15000000,7339.27000000,7302.10000000,7336.45000000,1520.45465500,845.04624400,6190646.73873129
1578139200000,7336.75000000,7339.58000000,7305.00000000,7312.89000000,1131.42266700,695.22978200,5087716.14308025
1578142800000,7312.79000000,7326.49000000,7291.00000000,7303.88000000,1549.12832600,824.57548200,6025792.11206226
1578146400000,7303.72000000,7323.74000000,7296.44000000,7316.72000000,874.23169300,482.35789900,3526846.77919991
1578150000000,7315.51000000,7332.00000000,7305.00000000,7318.99000000,870.05060000,555.82858100,4068357.90817464
1578153600000,7318.98000000,7323.26000000,7297.91000000,7307.11000000,1043.41794200,661.78544500,4837226.21228647
1578157200000,7308.00000000,7352.00000000,7305.00000000,7351.99000000,1237.98429600,700.10711200,5131938.52387021
1578160800000,7351.36000000,7404.00000000,7272.21000000,7306.92000000,4110.02446900,2134.44816900,15683019.21119906
1578164400000,7306.60000000,7353.84000000,7283.01000000,7334.83000000,1966.92940100,1094.31068800,8008151.88383367
1578168000000,7334.89000000,7352.64000000,7310.67000000,7341.06000000,1433.86406100,799.04817900,5863217.43234697
