open_time,open,high,low,close,volume,taker_buy_base,taker_buy_quote
1577836800000,129.16000000,129.19000000,128.68000000,128.87000000,7769.17336000,4149.93345000,534619.33896550
1577840400000,128.87000000,130.65000000,128.78000000,130.64000000,11344.65516000,5930.54276000,770486.05667730
1577844000000,130.63000000,130.98000000,130.35000000,130.85000000,7603.35623000,3324.35218000,434675.44465540
1577847600000,130.85000000,130.89000000,129.94000000,130.20000000,4968.55433000,1810.03564000,235890.33019660
1577851200000,130.21000000,130.74000000,130.15000000,130.20000000,3397.90747000,1839.74371000,239848.34833520
1577854800000,130.20000000,130.47000000,130.11000000,130.30000000,4243.60640000,1903.34492000,248056.95630660
1577858400000,130.31000000,130.75000000,130.26000000,130.44000000,3668.90166000,2049.58504000,267540.78422700
1577862000000,130.47000000,130.71000000,130.14000000,130.24000000,4147.17413000,2099.12905000,273719.60439750
1577865600000,130.24000000,130.41000000,129.87000000,130.36000000,7541.44497000,3767.79178000,490054.23553520
1577869200000,130.40000000,130.62000000,130.13000000,130.17000000,4808.20496000,2444.93206000,318758.21994370
1577872800000,130.17000000,130.82000000,130.07000000,130.70000000,4625.50170000,2056.89773000,268377.99133510
1577876400000,130.67000000,131.87000000,130.60000000,130.74000000,10847.79032000,5888.77446000,773357.20602680
1577880000000,130.74000000,131.61000000,130.70000000,131.61000000,4163.30667000,2614.85418000,343039.95849380
1577883600000,131.60000000,131.90000000,131.28000000,131.68000000,7160.65302000,4431.55492000,583217.86517960
1577887200000,131.66000000,132.37000000,131.24000000,131.96000000,7325.25762000,3312.40021000,436976.74144130
1577890800000,131.95000000,132.40000000,131.60000000,132.08000000,5361.06926000,3190.72108000,420971.80409640
1577894400000,132.08000000,132.95000000,131.78000000,132.85000000,6915.20906000,4018.76650000,531730.11345280
1577898000000,132.86000000,133.05000000,132.27000000,132.34000000,5424.00732000,3304.17444000,438274.58711840
1577901600000,132.34000000,132.46000000,131.57000000,132.04000000,5707.79340000,2304.18730000,304050.07127500
1577905200000,132.04000000,132.16000000,131.62000000,131.86000000,2111.21443000,997.52946000,131502.50567310
1577908800000,131.86000000,132.25000000,131.70000000,132.18000000,2014.79285000,1021.42474000,134902.80880100
1577912400000,132.17000000,132.37000000,131.68000000,131.78000000,4879.42025000,1841.37772000,242979.17790180
1577916000000,131.82000000,131.82000000,129.90000000,130.27000000,14876.06749000,5520.77235000,720974.07096410
1577919600000,130.28000000,130.87000000,129.74000000,130.77000000,3865.45991000,2025.11315000,263935.94006910
1577923200000,130.72000000,130.78000000,130.27000000,130.67000000,3772.66670000,2094.53022000,273427.28280800
1577926800000,130.66000000,130.67000000,130.12000000,130.15000000,3684.51912000,1879.43297000,245012.03431210
1577930400000,130.14000000,130.16000000,128.89000000,129.72000000,19078.42209000,10251.27762000,1326940.57038960
1577934000000,129.71000000,129.71000000,128.77000000,129.10000000,11950.18634000,6776.08848000,875907.74043270
1577937600000,129.09000000,129.87000000,128.69000000,129.55000000,8931.67759000,4789.83655000,620041.24948600
1577941200000,129.57000000,129.75000000,129.30000000,129.63000000,7276.74256000,4239.90884000,549179.58779140
1577944800000,129.60000000,129.99000000,129.15000000,129.42000000,4823.43405000,2544.58300000,329970.30939500
1577948400000,129.43000000,129.67000000,128.96000000,129.26000000,6548.36046000,3071.14376000,397092.18001240
1577952000000,129.23000000,130.27000000,129.21000000,130.21000000,7205.67080000,3921.79016000,509358.89912190
1577955600000,130.21000000,130.21000000,129.57000000,129.98000000,5828.65169000,2876.61423000,373452.18942340
1577959200000,129.97000000,130.28000000,129.66000000,129.72000000,8014.34789000,4527.61066000,588471.44642540
1577962800000,129.73000000,129.94000000,129.44000000,129.53000000,4293.24985000,1966.19307000,254872.60868830
1577966400000,129.52000000,129.99000000,129.52000000,129.96000000,3718.46074000,1917.82172000,248879.07036050
1577970000000,129.97000000,130.01000000,128.90000000,129.35000000,8547.00635000,3550.32517000,459376.46374770
1577973600000,129.34000000,129.86000000,129.21000000,129.37000000,5538.92471000,2683.10340000,347310.55391800
1577977200000,129.37000000,129.80000000,129.36000000,129.59000000,5352.62034000,2579.96731000,334276.65876110
1577980800000,129.58000000,129.78000000,126.94000000,127.60000000,32996.89479000,14239.94155000,1822866.15717430
1577984400000,127.60000000,127.68000000,126.38000000,127.40000000,40429.91193000,19808.25178000,2516323.66547680
1577988000000,127.42000000,127.75000000,127.13000000,127.49000000,7360.65888000,3632.86326000,462793.02047350
1577991600000,127.49000000,127.67000000,127.08000000,127.62000000,4747.08642000,2196.73913000,279854.42323610
1577995200000,127.63000000,127.64000000,126.79000000,127.16000000,5796.42079000,2341.70555000,297819.23738790
1577998800000,127.16000000,127.87000000,127.15000000,127.72000000,2225.95265000,1246.55584000,159015.04854880
1578002400000,127.72000000,127.76000000,127.24000000,127.39000000,2654.51024000,1098.43240000,139914.83122540
1578006000000,127.39000000,127.48000000,126.91000000,127.19000000,2980.68108000,1595.84525000,202909.34013220
1578009600000,127.19000000,127.60000000,126.82000000,127.07000000,7303.34389000,3857.27760000,490617.73936690
1578013200000,127.07000000,127.17000000,125.88000000,126.04000000,12202.68649000,5461.60197000,690738.34839330
1578016800000,126.04000000,127.08000000,125.90000000,126.92000000,14356.43191000,9318.14836000,1179995.87484160
1578020400000,126.94000000,127.11000000,126.65000000,126.89000000,6279.76820000,3059.94250000,388212.21444350
1578024000000,126.89000000,130.15000000,126.83000000,129.30000000,47219.15382000,23748.99867000,3056919.31759210
1578027600000,129.23000000,129.97000000,128.76000000,129.21000000,13556.58641000,9180.82081000,1185420.86036500
1578031200000,129.24000000,129.35000000,128.76000000,129.17000000,9731.33188000,6707.45874000,865862.39091550
1578034800000,129.18000000,129.53000000,128.72000000,128.86000000,16992.05519000,10935.48785000,1411477.10385040
1578038400000,128.86000000,133.26000000,128.80000000,132.15000000,74641.95220000,41331.36836000,5403742.13462400
1578042000000,132.20000000,132.87000000,131.71000000,132.35000000,26464.25904000,15486.00476000,2048551.68031110
1578045600000,132.36000000,132.72000000,131.58000000,132.04000000,10333.20316000,5428.49269000,717347.67917460
1578049200000,132.03000000,132.63000000,131.92000000,132.46000000,6848.31903000,3717.85828000,491900.46127500
1578052800000,132.49000000,132.83000000,131.85000000,132.23000000,13842.74842000,6171.26067000,816516.63522500
1578056400000,132.23000000,133.95000000,132.23000000,133.54000000,14278.62513000,8442.95991000,1123179.05838140
1578060000000,133.51000000,133.85000000,130.93000000,131.68000000,22358.20900000,10017.42371000,1322204.36401030
1578063600000,131.68000000,132.57000000,131.59000000,132.53000000,7514.12682000,4800.77717000,633237.06819210
1578067200000,132.52000000,133.75000000,131.94000000,133.51000000,23716.09017000,13413.59309000,1784774.42508250
1578070800000,133.44000000,134.90000000,132.66000000,133.97000000,23183.54673000,14345.62334000,1918174.35217700
1578074400000,134.00000000,134.22000000,133.24000000,133.50000000,9525.09437000,5098.35798000,681944.04548480
1578078000000,133.50000000,133.59000000,132.21000000,133.49000000,13761.61369000,7413.87254000,986416.29508330
1578081600000,133.48000000,134.05000000,133.01000000,133.45000000,8673.15909000,4595.94296000,613788.23967590
1578085200000,133.48000000,133.93000000,132.29000000,132.50000000,8141.62621000,3863.65218000,514070.14181580
1578088800000,132.45000000,133.37000000,132.16000000,133.04000000,6493.87391000,3303.61971000,438284.67583240
1578092400000,133.04000000,135.14000000,132.90000000,134.35000000,15637.38419000,8198.71146000,1100172.51508780
1578096000000,134.37000000,134.81000000,133.44000000,133.70000000,11609.95948000,5375.32314000,720779.45297770
1578099600000,133.71000000,133.71000000,132.79000000,133.01000000,7514.41101000,3557.71563000,473525.57698510
1578103200000,133.01000000,133.48000000,132.80000000,133.47000000,5970.26181000,3103.71390000,413123.48546300
1578106800000,133.47000000,133.54000000,133.18000000,133.34000000,4705.93094000,2266.90753000,302343.19315610
1578110400000,133.34000000,133.91000000,133.00000000,133.67000000,8118.69367000,3314.64684000,442304.52228770
1578114000000,133.68000000,134.11000000,133.40000000,133.66000000,5335.12784000,2843.11803000,380240.40823430
1578117600000,133.67000000,134.25000000,133.62000000,133.95000000,4892.57246000,2534.07683000,339491.50807390
