report_time,open_interest_all,dealer_positions_long_all,dealer_positions_short_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
1523318400000,1702,0,0,122,0,902,1108,53,207,599,361
1523923200000,2029,0,0,122,0,1053,1313,130,332,682,342
1524528000000,2380,0,0,105,0,1194,1682,198,336,829,308
1525132800000,1991,0,0,0,0,1198,1348,177,283,589,333
1525737600000,2485,0,0,0,0,1284,1707,391,368,790,390
1526342400000,2505,0,0,0,29,1338,1657,337,366,804,427
1526947200000,2684,0,0,0,29,1323,1872,462,327,849,406
1527552000000,2714,0,0,38,25,1172,1812,486,416,960,403
1528156800000,2556,0,0,47,29,1126,1845,540,305,816,350
1528761600000,2643,29,0,0,108,1349,1634,427,440,819,442
1529366400000,2633,29,0,52,59,1478,1414,159,590,804,459
1529971200000,2687,29,0,0,111,1508,1505,171,515,839,416
1530576000000,2514,0,0,44,84,1198,1639,438,366,786,377
1531180800000,2622,0,0,0,119,1412,1652,396,368,701,370
1531785600000,2854,0,0,25,89,1469,1990,493,332,784,360
1532390400000,3431,30,0,44,164,1353,2313,868,392,931,357
1532995200000,3063,0,0,0,209,1722,1969,259,340,815,278
1533600000000,2732,0,0,0,143,1481,1454,135,470,800,349
1534204800000,2983,0,0,0,215,2065,1766,138,521,705,406
1534809600000,2981,0,0,0,191,2104,1838,85,515,711,356
1535414400000,2840,0,0,67,170,1688,1745,160,529,859,330
1536019200000,2707,0,0,99,140,1187,1657,576,532,820,353
1536624000000,2711,0,0,0,199,1630,1322,116,727,743,241
1537228800000,2742,0,0,0,140,1566,1382,90,654,858,338
1537833600000,2746,0,1,0,131,1412,1420,213,539,789,323
1538438400000,2354,0,40,26,125,1237,1342,327,566,741,258
1539043200000,2848,0,76,0,121,1643,1656,395,606,786,365
1539648000000,2730,0,76,54,108,1606,1620,302,556,704,306
1540252800000,3001,0,76,0,161,1659,1400,211,531,665,367
1540857600000,2608,0,0,0,238,1789,1511,184,451,553,326
1541462400000,2913,0,0,72,108,1877,1965,299,552,665,288
1542067200000,3530,31,0,0,250,2462,2353,399,619,637,307
1542672000000,3729,0,0,0,166,2152,1912,315,672,663,380
1543276800000,3791,0,0,0,238,2416,2089,261,674,734,410
1543881600000,3301,0,0,34,123,2409,2317,195,465,585,318
1544486400000,3970,0,0,27,256,2905,2699,159,545,751,342
1545091200000,4359,0,0,138,110,3091,3213,178,605,800,279
1545609600000,3857,0,0,101,140,2690,2577,160,673,720,281
1546214400000,3708,49,0,80,140,2452,2389,105,674,795,278
1546905600000,3764,0,0,165,140,2610,2648,201,602,720,306
1547510400000,4473,0,1,27,337,3417,2923,110,608,706,391
1548115200000,4976,0,1,27,344,3341,2863,111,610,683,344
1548720000000,4047,0,97,30,360,2760,2572,227,347,689,330
1549324800000,3881,0,97,32,291,2532,2429,245,354,695,333
1549929600000,3361,0,97,134,205,1697,2090,510,462,762,249
1550534400000,3964,0,97,170,165,1834,2259,704,761,858,284
1551139200000,3324,0,124,54,283,1575,1885,739,624,824,276
1551744000000,3226,0,124,33,228,1347,1812,823,559,858,338
1552348800000,3480,0,124,97,195,1459,2257,751,343,842,230
1552953600000,3681,0,124,156,177,1460,2528,767,285,1003,272
1553558400000,3428,0,124,35,241,1238,2105,687,88,930,332
1554163200000,4000,0,158,315,89,1517,2598,598,440,1099,244
1554768000000,4443,0,158,244,80,1968,2714,634,804,1176,266
1555372800000,4324,0,158,163,201,2272,2541,532,975,1164,256
1555977600000,4313,0,158,245,132,2025,2458,501,1173,1386,236
1556582400000,3817,0,123,254,72,1789,2375,458,942,1218,207
1557187200000,4388,0,123,286,0,1941,2692,719,1216,1334,249
1557792000000,4447,0,123,199,0,2289,2455,317,1218,1353,362
1558396800000,4650,0,123,223,0,2354,2498,268,1251,1421,394
1559001600000,5190,0,123,319,0,2709,2763,238,1577,1553,356
1559606400000,4436,0,0,300,56,2321,2698,213,1043,1391,428
1560211200000,4434,0,0,359,0,2073,3044,362,751,1360,359
1560816000000,5391,0,0,354,0,2564,2911,482,1621,1500,368
1561420800000,6021,0,0,310,0,3093,3246,490,1967,1737,417
1562025600000,5839,36,0,188,146,3253,3326,605,1812,1535,333
1562630400000,6075,57,0,249,109,3233,3730,625,1711,1730,344
1563235200000,5322,39,0,211,151,2566,3394,506,1157,1789,409
1563840000000,4928,40,0,102,111,2208,2799,682,1370,1712,464
