book,sym,entry_time,side,ent,lvl,level_px,entry,stop,target,risk_pct,status,exit_time,R_gross,R_net_est,data_end,oi_chg_7d,retail_ls_pct90,filter_note,action,first_logged_utc,live
X2,ETH,2026-07-04 19:00:00,long,ACC,PW,1779,1793.01,1771.46,1836.11,1.20189,closed,2026-07-04 23:15:00,-1,-1.06656,2026-09-23,0.004604,0.229401,crowded long (info),TAKE,2026-09-23 14:53:00,False
X3,ETH,2026-07-04 19:00:00,long,ACC,PW,1779,1793.01,1771.46,1857.66,1.20189,closed,2026-07-04 23:15:00,-1,-1.06656,2026-09-23,0.004604,0.229401,crowded long (info),TAKE,2026-09-23 14:53:00,False
X2,BTC,2026-07-07 01:00:00,long,ACC,PW,63990.7,64175.2,63781.7,64962.2,0.613165,closed,2026-07-07 01:45:00,-1,-1.13047,2026-09-23,0.008784,0.500233,crowded long (info),TAKE,2026-09-23 14:53:00,False
X3,BTC,2026-07-07 01:00:00,long,ACC,PW,63990.7,64175.2,63781.7,65355.7,0.613165,closed,2026-07-07 01:45:00,-1,-1.13047,2026-09-23,0.008784,0.500233,crowded long (info),TAKE,2026-09-23 14:53:00,False
X2,ETH,2026-07-14 16:00:00,long,ACC,SW,1848.78,1874.38,1793.34,2036.46,4.32356,closed,2026-07-15 16:00:00,0.698297,0.679794,2026-09-23,0.08762,0.075843,,TAKE,2026-09-23 14:53:00,False
X3,ETH,2026-07-14 16:00:00,long,ACC,SW,1848.78,1874.38,1793.34,2117.5,4.32356,closed,2026-07-21 16:00:00,0.69731,0.678807,2026-09-23,0.08762,0.075843,,TAKE,2026-09-23 14:53:00,False
X2,BTC,2026-07-14 22:30:00,long,FSB,PW,64691.9,64950,64200,66450,1.15473,closed,2026-07-15 22:30:00,-0.112,-0.18128,2026-09-23,0.036149,0.368765,crowded long (info),TAKE,2026-09-23 14:53:00,False
X3,BTC,2026-07-14 22:30:00,long,FSB,PW,64691.9,64950,64200,67200,1.15473,closed,2026-07-16 07:45:00,-1,-1.06928,2026-09-23,0.036149,0.368765,crowded long (info),TAKE,2026-09-23 14:53:00,False
X2,BTC,2026-07-20 18:15:00,long,FSB,PW,65589.7,65688,65209,66646,0.729205,closed,2026-07-20 19:00:00,-1,-1.10971,2026-09-23,-0.02847,0.303963,crowded long (info),TAKE,2026-09-23 14:53:00,False
X3,BTC,2026-07-20 18:15:00,long,FSB,PW,65589.7,65688,65209,67125,0.729205,closed,2026-07-20 19:00:00,-1,-1.10971,2026-09-23,-0.02847,0.303963,crowded long (info),TAKE,2026-09-23 14:53:00,False
