book,sym,entry_time,side,ent,lvl,level_px,entry,stop,target,risk_pct,status,exit_time,R_gross,R_F063,R_F080,R_F040,fund_R,fund_settled_n,fund_est_n,fund_unknown_n,data_end,oi_chg_7d,retail_ls_pct90,filter_note,action,first_logged_utc,data_end_at_first_log,live,log_lag_h
X2,BNB,2026-07-01 11:15:00,short,FSB,PW,540.5,540.05,553.36,513.43,2.46459,closed,2026-07-01 15:30:00,-1,-1.02588,-1.03286,-1.01622,-0,0,0,0,2026-09-24,0.00851,0.950721,OI up 7d: ok,TAKE,2026-09-24 18:10:00,2026-09-24,False,2046.9
X2,XRP,2026-07-04 14:45:00,long,FSB,PW,1.1634,1.1687,1.1585,1.1891,0.872765,closed,2026-07-04 23:15:00,-1,-1.06951,-1.08891,-1.0427,-0.00235688,1,0,0,2026-09-24,-0.063266,0.802417,crowded long (info),TAKE,2026-09-24 18:10:00,2026-09-24,False,1971.4
X3,XRP,2026-07-04 14:45:00,long,FSB,PW,1.1634,1.1687,1.1585,1.1993,0.872765,closed,2026-07-04 23:15:00,-1,-1.06951,-1.08891,-1.0427,-0.00235688,1,0,0,2026-09-24,-0.063266,0.802417,crowded long (info),TAKE,2026-09-24 18:10:00,2026-09-24,False,1971.4
X2,ETH,2026-07-04 19:00:00,long,ACC,PW,1779,1793.01,1771.46,1836.11,1.20189,closed,2026-07-04 23:15:00,-1,-1.0521,-1.06616,-1.03267,0,0,0,0,2026-09-24,0.004604,0.229401,crowded long (info),TAKE,2026-09-24 18:10:00,2026-09-24,False,1967.2
X3,ETH,2026-07-04 19:00:00,long,ACC,PW,1779,1793.01,1771.46,1857.66,1.20189,closed,2026-07-04 23:15:00,-1,-1.0521,-1.06616,-1.03267,0,0,0,0,2026-09-24,0.004604,0.229401,crowded long (info),TAKE,2026-09-24 18:10:00,2026-09-24,False,1967.2
X2,BTC,2026-07-07 01:00:00,long,ACC,PW,63990.7,64175.2,63781.7,64962.2,0.613165,closed,2026-07-07 01:45:00,-1,-1.10243,-1.13007,-1.06422,0,0,0,0,2026-09-24,0.008784,0.500233,crowded long (info),TAKE,2026-09-24 18:10:00,2026-09-24,False,1913.2
X3,BTC,2026-07-07 01:00:00,long,ACC,PW,63990.7,64175.2,63781.7,65355.7,0.613165,closed,2026-07-07 01:45:00,-1,-1.10243,-1.13007,-1.06422,0,0,0,0,2026-09-24,0.008784,0.500233,crowded long (info),TAKE,2026-09-24 18:10:00,2026-09-24,False,1913.2
X2,XRP,2026-07-13 13:45:00,short,FSB,PW,1.0678,1.0665,1.0827,1.0341,1.51899,closed,2026-07-14 12:45:00,-1,-1.04669,-1.05797,-1.0311,0.00490195,3,0,0,2026-09-24,0.016843,0.501627,OI up 7d: ok,TAKE,2026-09-24 18:10:00,2026-09-24,False,1756.4
X3,XRP,2026-07-13 13:45:00,short,FSB,PW,1.0678,1.0665,1.0827,1.0179,1.51899,closed,2026-07-14 12:45:00,-1,-1.04669,-1.05797,-1.0311,0.00490195,3,0,0,2026-09-24,0.016843,0.501627,OI up 7d: ok,TAKE,2026-09-24 18:10:00,2026-09-24,False,1756.4
X2,ETH,2026-07-14 16:00:00,long,ACC,SW,1848.78,1874.38,1793.34,2036.46,4.32356,closed,2026-07-15 16:00:00,0.698297,0.679441,0.675449,0.684958,0.00406517,3,0,0,2026-09-24,0.08762,0.075843,,TAKE,2026-09-24 18:10:00,2026-09-24,False,1730.2
