address,n_fills,fill_calls,first_fill_utc,last_fill_utc,hit_10k_cap
0xdd53c5297309130ab5fe5623dc905752e3342b13,12708,8,2026-09-22T03:44:06.346000+00:00,2026-09-24T17:51:40.774000+00:00,True
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,10615,7,2026-09-11T14:59:09.603000+00:00,2026-09-19T23:03:54.436000+00:00,True
0x0b8aa35c28b7c6ab18f11dc168f437a8a69fd4f8,3575,3,2025-07-25T06:25:48.864000+00:00,2026-07-23T13:47:54.312000+00:00,False
0x153c8444380512cabdc34f6cea09c322e14e319a,11162,7,2025-03-04T14:36:23.595000+00:00,2026-08-21T08:20:20.015000+00:00,True
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,10993,7,2026-09-11T18:52:06.267000+00:00,2026-09-24T17:54:38.365000+00:00,True
0x4044570e13b5184f7eb2709de25a4eb766a4794c,11186,7,2026-06-08T21:14:01.328000+00:00,2026-09-24T08:49:49.858000+00:00,True
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,10939,7,2025-03-10T19:35:52.394000+00:00,2026-09-21T14:23:24.779000+00:00,True
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,10697,7,2026-04-17T16:14:06.277000+00:00,2026-09-23T08:55:07.208000+00:00,True
0x4efdb6c6813c648ed775ce7f3ff6e08bca83fc7a,1411,1,2024-12-28T23:47:59.912000+00:00,2026-09-20T16:31:02.813000+00:00,False
0xd8d5b0f7219aed171efb5ae2ac3b9941206f7349,10952,7,2024-12-10T03:25:43.505000+00:00,2026-09-21T16:05:52.458000+00:00,True
0xf2925cb0779a741fe33037cbd88fca5382e41244,29,1,2026-07-15T10:44:40.262000+00:00,2026-07-19T08:42:41.021000+00:00,False
0xdf954bbe619273a56e0cfa90dad8382195dc7d72,12585,8,2026-09-24T12:18:55.792000+00:00,2026-09-24T17:54:38.365000+00:00,True
0xebe126adabe1a8f08d3ce53b45e7cc994ca14070,10311,7,2026-08-21T01:19:39.261000+00:00,2026-09-24T17:55:22.067000+00:00,True
0x498216a21f5b028797c1d3d4250e14d09c9959e6,6980,5,2026-07-28T12:08:01.733000+00:00,2026-09-23T04:30:03.892000+00:00,False
0xad59ed47c226987cf458a63428ca10887773ba81,6433,5,2025-10-19T11:58:23.110000+00:00,2026-09-24T12:01:50.975000+00:00,False
0xec0b9ebf2a304c99cafe85c548c14dd7783cb078,965,1,2025-05-09T01:52:11.137000+00:00,2026-09-21T08:32:56.625000+00:00,False
0xf5d81a135f756ca16544e53c20fc20643ec3ad53,15987,8,2026-09-24T15:46:29.797000+00:00,2026-09-24T17:40:40.328000+00:00,True
0xb885ed57cd16985f347d26f13a79dc4abd2e3c54,10406,7,2025-12-06T21:49:16.269000+00:00,2026-09-20T12:13:10.019000+00:00,True
0x525232cb6ed5030d2b052b36bfc0baec96986ee3,7106,5,2025-08-31T06:59:36.423000+00:00,2026-09-23T05:34:23.349000+00:00,False
0xb695651daa495f59dd2725c6fe98322d8b51a92d,12128,8,2026-09-08T19:03:18.411000+00:00,2026-09-24T18:04:37.811000+00:00,True
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,10524,7,2025-10-03T21:26:30.563000+00:00,2026-09-23T16:27:12.604000+00:00,True
0x6daec5ff434924e0839358e710e6ae5f158590de,10515,7,2026-01-14T06:34:50.702000+00:00,2026-09-24T16:16:28.399000+00:00,True
0x61ceef212ff4a86933c69fb6aca2fe35d8f2a62b,11029,7,2026-04-30T14:21:09.661000+00:00,2026-09-17T01:08:03.388000+00:00,True
0x51f63885534cb494f4592a0311551f369bff2b39,10909,7,2026-09-21T15:02:30.422000+00:00,2026-09-24T18:08:30.564000+00:00,True
0x73d38d824fb2a24d1d888da0e582a850cb34343b,10252,7,2024-11-22T13:05:11.660000+00:00,2026-09-23T10:19:51.442000+00:00,True
0x9137bd9347f07990a8ce22869f8b93d190479c5a,5475,4,2026-05-24T07:55:02.731000+00:00,2026-09-24T14:26:40.145000+00:00,False
0xe0ffc829349c88c159462942ad885f12130e7610,10829,7,2024-12-25T16:44:28.372000+00:00,2026-09-09T04:16:40.337000+00:00,True
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,12947,8,2026-09-23T13:57:05.017000+00:00,2026-09-24T18:12:25.679000+00:00,True
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,11693,7,2026-09-11T15:57:59.741000+00:00,2026-09-23T11:26:09.622000+00:00,True
0x10761b48b1892a0fec8d808464d0c75216f6166d,11501,7,2026-06-26T00:41:26.699000+00:00,2026-09-23T03:51:31.229000+00:00,True
0x781e95fdc049433565cf8e05265361b8402196b7,10288,7,2026-08-25T09:28:35.104000+00:00,2026-09-24T18:08:57.218000+00:00,True
0x0a776abbaae0e2161d0e131f57e605efbea4b99b,10301,7,2025-09-08T13:32:00.963000+00:00,2025-10-09T10:34:07.195000+00:00,True
0xea6670ebdb4a388a8cfc16f6497bf4f267b061ee,10949,7,2026-03-06T13:30:14.929000+00:00,2026-09-19T20:26:24.552000+00:00,True
0xa98143608a6846453c88f29506d64a8b85532e65,144,1,2026-03-20T09:09:44.790000+00:00,2026-09-18T23:22:49.239000+00:00,False
0x024294c53a69c1e6b39810b3fac87385752fffa1,10420,7,2026-09-22T15:56:39.747000+00:00,2026-09-24T18:16:48.437000+00:00,True
0xf818fa41af44a1b42ba7433f4ec472be40a2c268,1167,1,2026-06-17T10:26:43.533000+00:00,2026-09-24T13:57:02.997000+00:00,False
0x77eeda199553e33b246e4b4666849b9ad0972902,12195,8,2026-06-11T18:36:26.441000+00:00,2026-09-22T15:21:04.562000+00:00,True
0x1dc67adaf9f163c5b1a95043addbdfa1af58e512,15977,8,2026-09-20T15:57:53.137000+00:00,2026-09-23T00:15:48.429000+00:00,True
0xba5d9cc840745aeeeeedac5712e32f13ab8ea352,7281,5,2026-07-31T14:33:02.481000+00:00,2026-09-17T12:20:27.437000+00:00,False
0xe187055ff406f8cdf59fbae53ec20d4ecd9b771d,14045,8,2026-08-11T17:52:05.684000+00:00,2026-09-23T14:29:51.086000+00:00,True
0x64a4fbb71858f681f3fa10a42b34180a9a48088d,10071,7,2025-12-11T14:28:23.397000+00:00,2026-08-20T01:31:44.138000+00:00,True
0x66f889094739dbb7d20aa60f645acd88feba75a9,11041,7,2026-07-25T23:54:36.472000+00:00,2026-09-24T18:03:45.174000+00:00,True
0x8c028b7c65d86d9721874c87819c6196e6cdb73f,5826,4,2026-06-05T12:41:33.196000+00:00,2026-09-24T08:50:24.807000+00:00,False
0x7b598b0358731d5a8a12da2502f52eac415348f7,2310,3,2026-02-05T16:33:19.583000+00:00,2026-06-19T15:55:48.834000+00:00,False
0xda3768e9299e1fd81708ec030dac5ea37125f7b5,11249,7,2026-09-03T14:57:00.022000+00:00,2026-09-24T17:29:42.923000+00:00,True
0x2e2b6070bec9be9f50887cfe306ac6ca93002fab,10849,7,2024-08-15T07:08:56.088000+00:00,2026-09-22T21:46:38.636000+00:00,True
0xde5b8c8e713f7c29ec72c22a326d61e5ac76e402,6190,5,2024-03-04T18:19:22.191000+00:00,2026-09-22T14:03:13.266000+00:00,False
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,5902,4,2026-02-12T18:59:25.980000+00:00,2026-09-24T16:11:14.836000+00:00,False
0xdfd526409007db0d524a62dedaaba7706736d88e,179,1,2025-12-19T14:31:33.998000+00:00,2026-06-19T11:19:32.691000+00:00,False
0x1bbfb3a33600338d5a948618189649a4588d5fc4,1219,1,2026-01-20T14:34:29.453000+00:00,2026-09-03T15:40:09.366000+00:00,False
0x17c3c8fdbcb7d1b240ce08965e09b1fc91cba868,10720,7,2026-09-20T14:10:10.307000+00:00,2026-09-24T18:27:37.013000+00:00,True
0x991e044d97b946fe549e92ac9bfa5119592a0e54,6372,5,2024-06-12T04:22:34.556000+00:00,2026-09-24T02:16:03.338000+00:00,False
0xfbe28a0bb38e52338dd5f1188cd22cebcdc3c8ea,10829,7,2026-02-25T18:22:30.905000+00:00,2026-09-15T18:30:59.217000+00:00,True
0x484bc1608211d0604bf70bae72792a56884562f8,10692,7,2026-06-02T14:41:11.589000+00:00,2026-06-10T20:02:57.707000+00:00,True
0xfc27136e42af1732ddc9ce2605ea9bff1b959d9d,12585,8,2026-09-23T23:11:39.670000+00:00,2026-09-24T18:30:44.787000+00:00,True
0x08bf75d17046412ae08c95b6106993f714487872,575,1,2026-02-18T12:47:39.313000+00:00,2026-09-11T16:39:52.034000+00:00,False
0xca8ed22b06357187495ce50630407be13a55507d,13067,8,2025-06-17T15:22:06.362000+00:00,2026-09-02T04:34:24.721000+00:00,True
0xee2b489196431a9442f73c52b2363436fdabd67e,69,1,2025-10-03T03:43:48.360000+00:00,2026-09-21T23:04:48.903000+00:00,False
0x4ff9b58ed112bf3df108d1d62bd95e7352ef38d3,7880,5,2024-12-18T23:56:14.316000+00:00,2026-09-24T13:16:35.536000+00:00,False
0x60a8c761f39696b3b419f31dcda20b405cb685f6,10523,7,2026-06-23T18:33:58.824000+00:00,2026-09-21T10:27:53.577000+00:00,True
0xe08cf3478e06b33d15c41a3a2a7fd306443cb879,120,1,2025-04-15T06:23:12.312000+00:00,2026-08-05T04:04:07.425000+00:00,False
0x5647249079e257329ecb6f46ed41821d3c69e7de,12024,8,2026-09-08T03:03:46.103000+00:00,2026-09-24T18:05:58.151000+00:00,True
0x4fe260d11bf48ba3a94459771259c910a398ac59,15990,8,2026-01-21T13:24:48.552000+00:00,2026-09-18T00:16:29.021000+00:00,True
0x6b06da993b1f12d82463fec75006913f98499b7c,11868,7,2026-07-16T17:25:39.536000+00:00,2026-09-24T18:05:21.159000+00:00,True
0xe06508f3b0c49e42533b891151a2842d30430f85,6043,5,2026-07-26T14:44:20.093000+00:00,2026-09-24T11:46:12.949000+00:00,False
0x549e6dd8453ed87fccdcf4f8b37162b10edc0533,10769,7,2025-11-24T22:39:37.619000+00:00,2026-09-24T17:52:06.681000+00:00,True
0x4c78a97cef589b01bb91dbf893fffa14243d2444,10531,7,2026-09-23T03:41:19.160000+00:00,2026-09-24T18:38:54.610000+00:00,True
0xc3ed57a7a8fa374af47eba5dd713bc2946f800dd,3416,3,2026-08-28T14:02:11.937000+00:00,2026-09-24T14:32:05.497000+00:00,False
0x2669f508f456efae73c86d99d373f885c7b32b39,10352,7,2025-11-17T12:58:50.733000+00:00,2026-09-23T19:15:23.736000+00:00,True
0x3eb6bed67d046fbffb8ada21167e592f3fef5470,10426,7,2026-09-21T08:55:30.911000+00:00,2026-09-24T18:40:39.101000+00:00,True
0x8b3fdac749d04382f375f5cddc4e7dc3a78bc6cd,4460,4,2026-08-24T09:17:41.245000+00:00,2026-09-20T02:31:03.853000+00:00,False
0x601ced9aa14005d645d0b495acc60f21edab4f54,2681,3,2025-06-19T17:42:47.018000+00:00,2026-09-24T10:13:49.779000+00:00,False
0x3ec92c9d09403a76bda445ffdfaf6de59717219f,10495,7,2024-07-11T13:05:58.038000+00:00,2026-09-22T18:51:04.504000+00:00,True
0x9aa589355bf745db9784c8ef3c646360f11b58af,10511,7,2026-09-23T13:39:31.194000+00:00,2026-09-24T18:42:14.505000+00:00,True
0xcf5343ba750a6e30afbb1dadda08bc78f8c8ee11,10438,7,2026-07-24T09:32:42.606000+00:00,2026-09-22T15:41:04.639000+00:00,True
0x970ca5d7a03bc0ba304997ea709464bbfb662a93,4077,4,2026-06-02T08:26:02.228000+00:00,2026-09-16T23:17:30.132000+00:00,False
0xfb1898bb5955fdd11704e397104c6a0e0725eb17,8570,6,2026-06-29T16:07:53.101000+00:00,2026-09-21T13:00:40.451000+00:00,False
0xe4d1fa7e6141f9131345117bdb8b5701bca67662,8108,6,2025-05-13T19:55:02.683000+00:00,2026-09-24T16:29:23.907000+00:00,False
0x7ea90af38397575a372e36bdc0f5970fb512fc7f,9657,6,2023-12-16T09:52:08.805000+00:00,2026-09-24T13:42:10.300000+00:00,False
0xf1863bd6d60a8f4b5f583ec54009af6a044877bf,2179,3,2025-08-16T06:55:07.947000+00:00,2026-09-10T13:13:59.307000+00:00,False
0x434f3e0d9d2e2b880af135a44fe79f786f4a62b0,10488,7,2026-07-09T00:07:30.582000+00:00,2026-07-28T07:04:37.557000+00:00,True
0x77ee3604adbdefa66a817b3cf776412a6613a018,13095,8,2026-04-30T00:48:04.312000+00:00,2026-09-24T10:30:01.151000+00:00,True
0x6706bedf7d075bb6e9b34f3f2cd1b372e483cdeb,10588,7,2026-07-21T04:29:40.968000+00:00,2026-09-24T14:15:46.755000+00:00,True
0x4e31ecf36d9d57a32010fc9dd80f2ddaf5d78442,3534,3,2025-10-21T16:40:03.292000+00:00,2026-09-09T08:40:01.558000+00:00,False
0x2cff35b62aa18287a4b866e8c0a5ab6f8781e8a3,11376,7,2026-09-23T04:28:05.868000+00:00,2026-09-24T18:50:05.891000+00:00,True
0xdc93a8fdc56b4486f97a9ddf523a1225a5a7d9ab,1331,1,2025-01-20T17:24:08.389000+00:00,2026-09-23T13:38:57.923000+00:00,False
0x9bd64263248752d128cbdfd3f64f69f135dd4ec2,11817,7,2026-02-25T18:27:58.720000+00:00,2026-09-20T18:06:02.961000+00:00,True
0x9f4fca5ff011b3d765a75faea38460036ef86417,10982,7,2024-03-11T14:04:56.735000+00:00,2026-09-22T12:09:44.840000+00:00,True
0x08bed3f9ae9b3db6bf9b5de117e0309e028e7aa4,5448,4,2025-12-07T09:21:14.094000+00:00,2026-09-24T05:15:57.687000+00:00,False
0xcbbb26d5e622fb877e12745921ae8b1f820ffbed,1346,1,2025-06-18T07:15:27.796000+00:00,2026-09-24T09:35:09.940000+00:00,False
0x7ee6b077b59f4417bc36d41bb65365644315db10,12351,8,2026-06-12T05:30:23.978000+00:00,2026-08-24T04:12:54.119000+00:00,True
0xf2500dbc34617daf22b5186a1bfb9f5f3a33ae13,785,1,2026-04-17T17:45:39.846000+00:00,2026-09-10T23:37:18.933000+00:00,False
0xf129e9c78fcdbf02051f87ea0333c121825a1125,13757,8,2026-09-21T11:46:32.164000+00:00,2026-09-24T18:20:24.389000+00:00,True
0x3e2fbe61f37f11d68e3d1e4f25c53c73f414b269,4417,4,2026-06-30T13:49:10.049000+00:00,2026-09-20T20:14:49.686000+00:00,False
0xddb85e692bf8cac12b3e6766ab23b8e8e29781bb,2757,3,2026-05-31T20:56:08.289000+00:00,2026-09-24T07:08:28.265000+00:00,False
0x4a20b9496610941053858bd0b7e92493f44c3c26,10848,7,2025-10-28T10:59:02.821000+00:00,2026-09-17T02:54:35.923000+00:00,True
0x6788e111b25a244e7168847fe19bb1456a8398d4,10220,7,2026-09-04T01:48:19.046000+00:00,2026-09-24T13:29:52.886000+00:00,True
0x2490aa2b48022e857d44e738911787c8e2296aed,11267,7,2025-08-12T18:07:49.182000+00:00,2026-09-22T08:01:21.083000+00:00,True
0x7c4b71c1d8a11ed426f301c372a72e06f528e00b,13920,8,2026-04-18T08:40:55.802000+00:00,2026-09-18T01:06:22.029000+00:00,True
0x9219e5840b07351a6525fe958603bd0986cb24b8,336,1,2025-07-17T16:40:07.472000+00:00,2026-07-27T23:00:33.767000+00:00,False
0x05e6ffff89d05b7ed820dfedb665e430252c8132,11732,7,2026-09-23T13:01:03.204000+00:00,2026-09-24T19:00:16.097000+00:00,True
0xefffa330cbae8d916ad1d33f0eeb16cfa711fa91,10156,7,2025-11-14T12:16:10.255000+00:00,2026-09-18T23:38:09.209000+00:00,True
0x5c26dfc723e7a1da7b6c3bd5cbd72716d09425c2,11032,7,2026-05-06T09:00:22.503000+00:00,2026-09-06T16:35:19.850000+00:00,True
0x5aa13316231716ea438eb243feabc296a9094b2b,11976,7,2026-02-27T00:30:25.948000+00:00,2026-09-21T21:32:19.640000+00:00,True
0xfd65235129debccfdbdcfdf8aa96d3e125ec9d10,2739,3,2025-09-25T18:28:17+00:00,2026-09-18T21:44:44.873000+00:00,False
0x436c9c7c0eb3611565591eedee51ad149b76b3d1,10838,7,2026-08-11T11:14:53.120000+00:00,2026-09-24T03:17:32.957000+00:00,True
0x0d7661a7b7a89b40b6db128900557e4f1d1b3789,10358,7,2026-02-05T21:26:25.521000+00:00,2026-09-24T17:01:38.476000+00:00,True
0x9606f4e2f924cb0216b83ca7deca2ab486e64e5d,12095,8,2026-09-04T12:46:44.098000+00:00,2026-09-24T09:30:33.839000+00:00,True
0x641edd3f198101eb13ce9228a415cbf02b62b6c8,10581,7,2026-09-08T15:43:00.735000+00:00,2026-09-24T17:08:00.583000+00:00,True
0xa0f2e2f7b3ab58e3e52b74f08d94ae52778d46df,333,1,2024-02-12T13:55:17.574000+00:00,2026-06-26T11:58:30.132000+00:00,False
0x33c079266febb35d369b381a8f2e4907b176243f,7531,5,2024-08-12T14:14:22.049000+00:00,2026-09-24T16:48:31.367000+00:00,False
0xb0088e7991b62ef58483e5f524ed9d482e5bac8b,11105,7,2025-10-10T16:15:21.104000+00:00,2026-09-24T18:50:22.389000+00:00,True
0xaa5e5f73bed3c478cc550c48c38deb3bcb70821e,10635,7,2026-07-11T03:52:22.099000+00:00,2026-09-24T17:04:28.517000+00:00,True
0x419b7875599185c08e71fbb480351fd07511dbee,838,1,2024-09-08T08:17:26.527000+00:00,2026-09-23T08:34:55.496000+00:00,False
0x43690e4576a3fde753af68db7ce5f445928c46fb,1302,1,2026-01-26T22:41:20.254000+00:00,2026-09-24T18:57:31.628000+00:00,False
0xcd81917ff5313d02d7da3d47a9afcd3f635c36e3,10851,7,2026-03-14T18:38:21.024000+00:00,2026-09-24T18:22:01.569000+00:00,True
0x8a9683697f7e534d86d9e5e433ed725047991954,10660,7,2026-07-24T20:19:04.388000+00:00,2026-09-24T12:49:23.174000+00:00,True
0x20567571c1602360562af269970cb7dd4fb18396,4309,4,2026-04-08T05:36:38.548000+00:00,2026-09-22T16:08:20.310000+00:00,False
0x1700acdd94010de35087b45b601d0e1b90c2697f,12814,8,2026-09-17T08:55:28.751000+00:00,2026-09-24T18:01:20.872000+00:00,True
0x3440f23a87f1950e7a88cd248fd270e92d1132c5,11067,7,2026-07-28T13:39:43.875000+00:00,2026-09-24T11:39:27.007000+00:00,True
0x5ccaf678b74464fac20f6cae8cbaa9b402010c45,10085,7,2025-05-12T01:25:42.302000+00:00,2026-09-18T13:40:03.852000+00:00,True
0x1e48f1007fa133f643941d58cb6b080dc621e773,10800,7,2023-12-28T20:13:42.753000+00:00,2026-09-21T06:11:55.877000+00:00,True
0x837686cfda8a79adfb8465d39240c54166bf9a1e,868,1,2025-06-25T17:47:25.800000+00:00,2026-09-18T20:59:00.129000+00:00,False
0x2e30c32738a28833e3d85189c04895c25ee54cb5,11013,7,2026-09-08T19:53:15.320000+00:00,2026-09-24T19:12:44.495000+00:00,True
0x4bea6238e0b0f1fc40e2231b3093511c41f08585,2406,3,2025-08-22T11:26:49.671000+00:00,2026-09-04T12:09:33.719000+00:00,False
0x646be0d5f96edd60d9933c4646b5d3ac165001dc,6608,5,2026-02-06T00:08:31.156000+00:00,2026-09-24T16:38:22.466000+00:00,False
0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,10074,7,2026-01-12T16:39:43.706000+00:00,2026-09-21T13:19:51.966000+00:00,True
0x8ab13dbc3d2ab5ea4c4b37f40696254a730015ef,9897,6,2025-10-16T17:57:47.410000+00:00,2026-09-24T10:24:00.492000+00:00,False
0x9c062c0575c30a3b7614d0c6ea8de67faab00560,1887,1,2026-07-02T16:44:24.602000+00:00,2026-09-24T18:27:13.373000+00:00,False
0xf382f419448b471da26225c4f849bb240be5578c,11288,7,2026-05-21T01:15:15.556000+00:00,2026-09-22T00:16:39.496000+00:00,True
0xd7b19f8aaf5c9619bd5141945a73d2ca74984451,1985,1,2025-11-21T17:44:19.395000+00:00,2026-08-31T17:14:24+00:00,False
0x722ce39581c22de003754df78dd54e7c148843f3,10304,7,2026-09-07T11:45:48.169000+00:00,2026-09-21T09:02:41.321000+00:00,True
