address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0xdd53c5297309130ab5fe5623dc905752e3342b13,BTC,-208.69888,77305.5,17559506.3654399998,-1425930.003943,cross,3,283499.1915257092
0xdd53c5297309130ab5fe5623dc905752e3342b13,ETH,0.0091,2442.7,24.30701,2.07844,cross,3,
0xdd53c5297309130ab5fe5623dc905752e3342b13,SOL,0.19,100.75,22.167547,3.025047,cross,3,
0xdd53c5297309130ab5fe5623dc905752e3342b13,LINK,-307618.1,11.74179,3965609.5172540001,-353620.573741,cross,3,139.7554248931
0xdd53c5297309130ab5fe5623dc905752e3342b13,XRP,-1247202.0,1.485118,1904352.7338,-52109.761375,cross,3,34.4225750397
0xdd53c5297309130ab5fe5623dc905752e3342b13,AAVE,-2374.22,125.5203,340558.1168,-42545.259098,cross,3,16650.109060452
0xdd53c5297309130ab5fe5623dc905752e3342b13,ZRO,-5481876.7999999998,1.08439,8001895.5649600001,-2057360.6714620001,cross,3,8.445784186
0xdd53c5297309130ab5fe5623dc905752e3342b13,NEAR,-4318420.5,2.31039,20051290.0656000003,-10074052.8001540005,cross,3,13.5114546829
0xdd53c5297309130ab5fe5623dc905752e3342b13,HMSTR,-6082657.0,0.00017,1094.87826,-55.477087,cross,3,5.936477449
0xdd53c5297309130ab5fe5623dc905752e3342b13,HYPE,-272106.0,73.5786,25372796.0760000013,-5351598.0070369998,cross,3,233.988404879
0xdd53c5297309130ab5fe5623dc905752e3342b13,FARTCOIN,-2330554.1000000001,0.15952,440358.197195,-68578.963487,cross,3,17.0029460576
0xdd53c5297309130ab5fe5623dc905752e3342b13,VVV,-113792.77,24.6944,3448148.5165400002,-638093.6894349999,cross,3,347.6197103623
0xdd53c5297309130ab5fe5623dc905752e3342b13,PUMP,-864714901.0,0.004437,3368064.5393949999,469181.340051,cross,3,0.0490576887
0xdd53c5297309130ab5fe5623dc905752e3342b13,XPL,-11674374.0,0.081638,1172107.1495999999,-219027.210691,cross,3,3.3879372042
0xdd53c5297309130ab5fe5623dc905752e3342b13,ZEC,-9741.62,669.0092,15161857.3680000007,-8644623.6066939998,cross,3,5510.236055625
0xdd53c5297309130ab5fe5623dc905752e3342b13,LIT,-858218.0,4.530028,4510278.8772,-622527.251554,cross,3,49.8790886456
0xdd53c5297309130ab5fe5623dc905752e3342b13,CASHCAT,-38249189.0,0.208981,6173036.61271,1820322.152339,cross,3,1.1054220743
0xdd53c5297309130ab5fe5623dc905752e3342b13,PONS,-10287514.0,0.624378,6424912.5559900003,-1611.586726,cross,3,4.1344657016
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,HYPE,-104699.13,64.7005,9759634.1020800006,-2985539.5058519999,cross,3,123.5704376095
0x0b8aa35c28b7c6ab18f11dc168f437a8a69fd4f8,HYPE,-100005.0,32.4618,9312935.6235000007,-6066591.52391,cross,10,132.0852173124
0x153c8444380512cabdc34f6cea09c322e14e319a,kPEPE,305417979.0,0.002898,1352390.8110120001,467261.702929,cross,10,
0x153c8444380512cabdc34f6cea09c322e14e319a,CFX,15161872.0,0.047497,815966.4654240001,95813.074735,cross,5,
0x153c8444380512cabdc34f6cea09c322e14e319a,WLD,5087735.7000000002,0.39389,2238247.566501,234222.144272,cross,10,
0x153c8444380512cabdc34f6cea09c322e14e319a,kSHIB,99152000.0,0.004945,572999.4080000001,82654.247486,cross,10,
0x153c8444380512cabdc34f6cea09c322e14e319a,FET,4952800.0,0.178337,1084266.976,200997.021457,cross,5,
0x153c8444380512cabdc34f6cea09c322e14e319a,NEAR,602721.4,1.96125,2792046.6133599998,1609957.2703730001,cross,10,
0x153c8444380512cabdc34f6cea09c322e14e319a,IMX,6092369.7000000002,0.12631,931645.174524,162057.278684,cross,5,
0x153c8444380512cabdc34f6cea09c322e14e319a,kBONK,191787580.0,0.003353,701367.18006,58145.938227,cross,10,
0x153c8444380512cabdc34f6cea09c322e14e319a,PNUT,10096000.0,0.04982,556693.4399999999,53617.086389,cross,3,
0x153c8444380512cabdc34f6cea09c322e14e319a,GRAM,1000720.0,1.504908,1423824.416,-82167.260604,cross,5,
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,BTC,300.0,83955.5,25206300.0,19645.143932,cross,40,68723.4363313316
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,ETH,35304.3493,2660.1,94192003.9324000031,278591.023292,cross,25,2537.0135592443
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,HYPE,211000.0,93.2449,19629330.0,-45360.177212,cross,10,70.4213532709
0x4044570e13b5184f7eb2709de25a4eb766a4794c,BTC,75.13657,80212.6,6311096.1971500004,284194.622929,cross,40,32615.2213561943
0x4044570e13b5184f7eb2709de25a4eb766a4794c,XMR,920.046,564.709,507304.16394,-12254.640788,cross,5,
0x4044570e13b5184f7eb2709de25a4eb766a4794c,CASHCAT,4400132.0,0.18185,707717.23088,-92450.536236,cross,3,
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,BTC,300.49417,70766.9,25256234.4943300001,3991189.5843059998,cross,20,38424.0749643811
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,ETH,10016.8752,2162.83,26748061.8465600014,5083259.7973999996,cross,10,1291.1326092754
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,SUI,3000010.3999999999,0.85967,3022210.4769600001,443164.428138,cross,10,
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,HYPE,100000.0,71.0145,9314860.0,2213407.0041970001,cross,5,
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,AVAX,254088.2,8.1066,2621173.8711999999,561367.2735679999,cross,10,
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,LTC,50579.71,52.7832,3629878.1780050001,960117.1690699999,cross,10,
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,DOGE,15396800.0,0.087654,1478031.2128000001,128432.273454,cross,10,
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,kPEPE,500000000.0,0.003277,2219000.0,580309.883068,cross,10,
