address,display_name,account_value,day_pnl,day_roi,day_vlm,week_pnl,week_roi,week_vlm,month_pnl,month_roi,month_vlm,allTime_pnl,allTime_roi,allTime_vlm,vlm_to_acct
0xdd53c5297309130ab5fe5623dc905752e3342b13,,49508091.665526,-1040824.362147,-0.0205904388,5435502.27,-17018171.502232,-0.2558113246,42730687.22,-33422836.541986,-0.4030201671,152392586.76,-42042099.734474,-0.4592245968,217979598.65,4.4
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,,50365866.263366,737920.3708410001,0.0153471708,5436755.58,-6130399.311693,-0.0996873429,155163338.63,-8755657.849537,-0.0868180825,466992303.3,-31443857.201073006,-0.2625142091,3041819520.0899997,60.4
0x0b8aa35c28b7c6ab18f11dc168f437a8a69fd4f8,,41316450.03526602,-2794458.219253001,-0.0586316224,26542596.669999998,-12215898.039472999,-0.2057117259,108965876.50000001,-13947157.188058,-0.2224258529,656967652.82,-27756485.884734,-0.3306614886,4681079888.879999,113.3
0x153c8444380512cabdc34f6cea09c322e14e319a,,5827669.788706,718109.627953,0.3791932939,0.0,2820135.236779,0.9376900541,1596987.49,3223106.385571,1.2374843253,1878641.39,-27529161.791941,-0.807055526,662963736.97,113.8
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,MachiBigBrother,8246178.028026,304425.347503,0.0383323364,144210181.56,7017395.857483,4.9641304014,718801572.53,-464090.395335,-0.0521736742,2999623965.23,-26783391.988832,-0.7605808483,14339139420.62,1738.9
0x4044570e13b5184f7eb2709de25a4eb766a4794c,,4892580.027241,11236.747755,0.0023019786,2175639.71,1607460.411009,0.4893156411,25740848.09,2332216.041765,0.7848710867,134130153.77,-17964822.402759,-0.7643830642,2656147509.86,542.9
0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,,16710018.903848,497244.674124,0.0306699314,0.0,7514198.107443,0.5293246664,8978382.93,7354731.366812,0.81310126,35042758.84,-17820236.016152,-0.3761898955,1609859372.77,96.3
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,,21548292.476181,2421340.54835,0.3121016403,0.0,11600619.503698,1.1661641407,5901510.14,9130956.960854,0.7524060227,14741222.22,-17313000.713819,-0.3260591398,1298058956.56,60.2
0x4efdb6c6813c648ed775ce7f3ff6e08bca83fc7a,,543332.179937,-42454.255178,-0.0724615773,36963.27,-89808.462332,-0.1276075101,1093479.76,-49575.13919,-0.0650974078,3368948.52,-16987504.1512,-0.9459176654,716082137.39,1317.9
0xd8d5b0f7219aed171efb5ae2ac3b9941206f7349,,4001624.75862,73705.948536,0.0187646314,0.0,101000.855416,0.0258935129,4784995.22,-178713.046231,-0.0427508624,9785554.86,-14883077.10138,-0.7881023069,743732079.75,185.9
0xf2925cb0779a741fe33037cbd88fca5382e41244,,17780838.807347,362101.21271,0.019669791,2489061.12,-1212398.052417,-0.0579940841,3711259.08,-1876334.376848,-0.0820453331,3711259.08,-10918946.782653,-0.342156995,30079303.44,1.7
0xdf954bbe619273a56e0cfa90dad8382195dc7d72,,41644729.784702,-1709683.148676,-0.0394088227,19206062.029999997,-5898993.874986,-0.1235671765,88691369.17,-6602852.822963,-0.1347697183,211858386.64000002,-10217733.395298002,-0.1943794789,289769359.03999996,7.0
0xebe126adabe1a8f08d3ce53b45e7cc994ca14070,,28454907.013609998,171108.153185,0.0107854187,469919.62,-622252.226349,-0.0213999614,23006671.29,-3255844.095978,-0.0799748472,130245870.41,-9962867.39639,-0.1839647557,818194250.67,28.8
0x498216a21f5b028797c1d3d4250e14d09c9959e6,,1528409.091556,-53118.195724,-0.0828469271,0.0,-1400679.593729,-0.4781963758,6913596.33,-1069934.215456,-0.3217588215,19224119.78,-9777301.068444,-0.8125652805,83204550.06,54.4
0xad59ed47c226987cf458a63428ca10887773ba81,,5760730.261714,43352.480749,0.0075825811,147.66,-744905.225908,-0.1145015314,290419.41,-6192050.490556,-0.518042673,1029229.25,-9494598.10929,-0.7335626253,34286847.19,6.0
0xec0b9ebf2a304c99cafe85c548c14dd7783cb078,,14490702.96411,385428.243069,0.0273251142,0.0,1827683.309478,0.144332344,10164748.78,2747850.872024,0.1954932138,47874578.83,-9456239.94589,-0.3546965693,1689281528.86,116.6
0xf5d81a135f756ca16544e53c20fc20643ec3ad53,,70271908.73246099,581317.7468450001,0.008341158,1233443967.97,-3691754.5376780005,-0.0488509318,6318664622.010001,-6988501.4383000005,-0.0838784301,23607975239.1,-9433760.187539,-0.0883775438,162255723615.02997,2309.0
0xb885ed57cd16985f347d26f13a79dc4abd2e3c54,,3516293.602442,55549.536427,0.0860337187,0.0,197610.563774,0.0595448741,2974871.72,-43471.354232,-0.011909166,3174865.6,-8966654.037558,-0.6988359741,138634533.5,39.4
0x525232cb6ed5030d2b052b36bfc0baec96986ee3,z3ro2,3395807.164697,54418.51346,0.0162861969,0.0,-46057.475582,-0.0133815476,5977359.61,-148229.557777,-0.0414739885,43763144.84,-8866445.345303,-0.7201318636,1123335567.61,330.8
0xb695651daa495f59dd2725c6fe98322d8b51a92d,,33152996.530458,-667314.04465,-0.0191807559,3269208.0,-8843848.752016,-0.2058272089,23079348.98,-8515348.969542,-0.1997087133,126731305.67,-8515348.969542,-0.1997087133,126731305.67,3.8
0x960b6c2c4b1498681b8422eb572a8b3a6aa3f0fc,,7371821.203063,31.429641,4.2635e-06,47843.41,-279168.049805,-0.0364878371,32820418.15,2422.232621,0.0003286879,44524690.97,-8422131.616937,-0.3484055877,717705095.25,97.4
0x6daec5ff434924e0839358e710e6ae5f158590de,,438948.355212,-46539.181058,-0.0958607123,9976298.17,48588.156449,0.1244700577,30037942.56,96400.337087,0.2814213832,60060772.56,-7921144.034788,-0.9474947961,703499010.1,1602.7
0x61ceef212ff4a86933c69fb6aca2fe35d8f2a62b,,9057364.468515,45471.535938,0.0050457253,0.0,-1356635.399438,-0.1302703492,0.0,-6298220.161754,-0.3848452687,815604738.95,-7673034.061485,-0.4325174212,13446301437.95,1484.6
0x51f63885534cb494f4592a0311551f369bff2b39,,3211828.219578,-451868.320121,-0.1233367216,2949844.76,-1365331.288979,-0.2781029492,19873722.61,-2270119.400071,-0.390441721,108690033.86,-7482207.250422,-0.69966172,1763767886.59,549.1
0x73d38d824fb2a24d1d888da0e582a850cb34343b,,1178493.237398,0.0,0.0,0.0,23433.212774,0.0202874416,446669.99,192075.58923,0.1947203495,2251956.06,-7122558.182602,-0.5008840848,277942215.22,235.8
0x9137bd9347f07990a8ce22869f8b93d190479c5a,LAO QI,3400027.361829,-13292.156187,-0.0141060271,9382229.12,709048.753388,0.2634910405,44046338.87,99603.3763,0.0301789639,159114183.65,-7098051.048171,-0.4699423542,885137290.53,260.3
0xe0ffc829349c88c159462942ad885f12130e7610,,4540470.934234,48694.622446,0.0108408387,0.0,-1216199.977712,-0.2112679353,0.0,-3752924.121342,-0.4525196372,45031237.75,-6775910.463002,-0.5999967142,264214462.72,58.2
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,,26884707.258954,-2854940.31766,-0.0998277949,14512896.4,-12910029.520599,-0.3002699922,99231779.31,-13169815.608611,-0.3044725612,289073059.94,-6758493.381046,-0.1834393624,897408540.15,33.4
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,,26834369.864498,-777932.605097,-0.0281734059,0.0,-5148313.420666,-0.1609719039,11820026.67,-8105246.026503,-0.2319786815,102787264.04,-6647327.315502,-0.1925731383,290320687.47,10.8
0x10761b48b1892a0fec8d808464d0c75216f6166d,,1642762.521888,0.0,0.0,0.0,-133973.879495,-0.0753875057,4268355.65,-999293.858314,-0.3781685371,31330621.3,-6348930.748112,-0.4165284534,843109783.75,513.2
0x781e95fdc049433565cf8e05265361b8402196b7,,4638639.062827,-498306.716772,-0.0970044727,301083.3,-2371754.263869,-0.3225801573,814902.95,-5800601.105863,-0.5472907611,6353722.55,-6324726.157173,-0.5615466143,81480840.4,17.6
0x0a776abbaae0e2161d0e131f57e605efbea4b99b,,5360098.691633,-1113881.602934,-0.1691780102,747074.99,-3881812.100983,-0.3912323533,5250020.69,-4174894.550225999,-0.4047364192,28653184.38,-6110821.278367001,-0.4845390673,87220311.79000002,16.3
0xea6670ebdb4a388a8cfc16f6497bf4f267b061ee,,587362.78992,1420.899168,0.0024249831,0.0,1024530.439984,0.3943321804,29707604.26,183339.348717,0.0269266468,169831188.91,-5896667.50008,-0.4575014,349728080.19,595.4
0xa98143608a6846453c88f29506d64a8b85532e65,,6460403.682067,35868.200092,0.005582916,92501.15,-1204022.50444,-0.1570902721,5926073.11,-1713005.171434,-0.1542003842,9766510.47,-5837460.987933,-0.2392815812,71934312.69,11.1
0x024294c53a69c1e6b39810b3fac87385752fffa1,,9198683.757418,-378241.785042,-0.039495116,24989955.73,-2027578.837752,-0.1806103163,163155467.9,-3181753.829653,-0.2569984952,604574139.18,-5801270.832582,-0.3867525597,1017223778.27,110.6
0xf818fa41af44a1b42ba7433f4ec472be40a2c268,,13702068.268762002,30973.388112,0.0022656114,6872559.62,-2005801.3658100003,-0.1276940404,14397091.35,-3703004.3279069997,-0.2127518671,42213520.12,-5794681.331238,-0.2971943765,102278970.78,7.5
0x77eeda199553e33b246e4b4666849b9ad0972902,,7754817.954048,795947.631375,0.1143788567,0.0,2017217.762741,0.3515786558,247246.83,1432648.742474,0.2266071493,80196171.36,-5230871.305952,-0.4028181486,2151220947.91,277.4
0x1dc67adaf9f163c5b1a95043addbdfa1af58e512,,969624.4836620002,7924.158128,0.0082348983,3288805.5,110875.722666,0.1289978688,20809850.95,152599.601859,0.186596668,35317338.89,-5118713.466337999,-0.2200071401,1622894531.7899997,1673.7
0xba5d9cc840745aeeeeedac5712e32f13ab8ea352,,4834180.749052,-499681.85152,-0.1004531869,0.0,-3805544.364259,-0.3753103927,0.0,-4366812.542522,-0.4080754244,43833683.68,-5091543.020948,-0.4456210342,56511141.74,11.7
0xe187055ff406f8cdf59fbae53ec20d4ecd9b771d,,4288124.495557,-36450.894742,-0.0176928866,0.0,-1316669.049433,-0.2349183853,5298877.45,-2251330.23308,-0.3442688002,9464730.49,-5020910.284443,-0.539358849,47056493.09,11.0
0x64a4fbb71858f681f3fa10a42b34180a9a48088d,,20627285.838306,26151.07261,0.0012276729,6478826.72,-1886797.2357240003,-0.0812347001,47801313.49,-3525115.240535,-0.1415439049,194347889.24,-4948117.191694,-0.1278301299,2251556330.08,109.2
0x66f889094739dbb7d20aa60f645acd88feba75a9,,1911181.898426,112073.672148,0.0922894413,72150567.65,720642.350523,1.1895657507,183092197.59,339308.597998,0.2158625621,474164269.68,-4877893.561574,-0.7184915811,3649425499.04,1909.5
0x8c028b7c65d86d9721874c87819c6196e6cdb73f,,2179615.538062,28335.83,0.0918193182,7937932.83,-4698067.877813,-0.8606779899,219824799.26,-4570820.0,-0.7497282034,414833772.21,-4495049.11,-0.7465786034,470168501.05,215.7
0x7b598b0358731d5a8a12da2502f52eac415348f7,,4100500.902197,-1249006.4188629999,-0.2820087781,3345427.88,-2905654.1119879996,-0.4774396469,24862236.48,-3295667.936061,-0.4338513321,148006105.12999997,-4268130.7178030005,-0.498099949,234241360.52,57.1
0xda3768e9299e1fd81708ec030dac5ea37125f7b5,,12026274.754894998,1326.996505,0.0001103654,10511078.39,-1591770.583466,-0.1168868618,45452097.19,-1773074.3469429999,-0.128501636,165448178.72,-4230797.285105,-0.2602434974,1196003983.0100002,99.4
0x2e2b6070bec9be9f50887cfe306ac6ca93002fab,,4272582.319236,202569.461894,0.0497712093,0.0,1761351.605446,0.7013897989,3001091.73,1985675.503028,0.5949597569,4973470.43,-4127756.380764,-0.3987809175,383046376.98,89.7
0xde5b8c8e713f7c29ec72c22a326d61e5ac76e402,,536833.273337,-6741.235931,-0.0124016778,0.0,-68815.447011,-0.1136227069,275541.62,-74964.892314,-0.1225320645,1232779.32,-4077968.016663,-0.6521008887,55867455.28,104.1
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,,10918734.329682,51001.349502,0.0046927857,7988609.29,-244056.001459,-0.0218480747,16990878.84,-244056.011325,-0.0216540332,16990878.84,-3984312.479797,-0.2100317833,1370967254.36,125.6
0xdfd526409007db0d524a62dedaaba7706736d88e,,24111140.633708,-369512.8155740001,-0.0150938306,0.0,-830234.8378230002,-0.0332869223,9573456.52,-1375588.120729,-0.0470572201,46166239.86000001,-3906671.776292001,-0.0739044739,278131718.34,11.5
0x1bbfb3a33600338d5a948618189649a4588d5fc4,,8657359.322992,21407.440324,0.0024792651,0.0,1421185.421867,0.1964370568,0.0,1337543.960848,0.1827291939,26231855.81,-3804113.447008,-0.3052699723,253710651.41,29.3
