address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0x807a2e2e469df84b299da5f90f15dda4380daca1,LIT,-10318.0,5.413636,54804.057,1053.843,cross,1,112.9875732717
0xf517639a8872e756ac98d3c65507d2ebc25cc032,BTC,70.40854,81273.5,5930511.3241999997,208156.989775,cross,40,
0xf517639a8872e756ac98d3c65507d2ebc25cc032,ETH,-2221.0302,1969.0,5932593.7672199998,-1559365.8789369999,cross,25,6219.3925322816
0xf517639a8872e756ac98d3c65507d2ebc25cc032,SOL,-56802.22,80.7459,6481133.3020000001,-1894585.1415599999,cross,20,252.1654071153
0xf517639a8872e756ac98d3c65507d2ebc25cc032,DOGE,-1.0,0.06961,0.091921,-0.022311,cross,10,7655697.396763809
0xf517639a8872e756ac98d3c65507d2ebc25cc032,PURR,7889347.0,0.072483,1035397.9002799999,463548.902221,cross,3,
0xf517639a8872e756ac98d3c65507d2ebc25cc032,HYPE,197798.33,62.5246,18342234.7375600003,5974972.2588989995,cross,10,49.9532759378
0xf517639a8872e756ac98d3c65507d2ebc25cc032,PUMP,-1.0,0.005001,0.004016,0.000985,cross,10,7655697.3088580957
0xf517639a8872e756ac98d3c65507d2ebc25cc032,XPL,9744481.0,0.091043,866216.149533,-20952.482789,cross,10,
0xf517639a8872e756ac98d3c65507d2ebc25cc032,LIT,-172188.0,5.217865,915489.1584,-17035.391,cross,5,47.7571039916
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,SOL,-25081.1,107.3897,2863007.5649999999,-169554.776866,cross,20,295.6146111544
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,UNI,-90000.0,5.07834,822924.0,-365873.090678,cross,10,58.509900109
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,PENDLE,50000.0,2.515776,123450.0,-2338.8083,cross,5,
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,HYPE,-13033.77,96.4742,1207709.1281999999,49713.9102,cross,5,433.5411886205
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,XPL,4934726.0,0.090048,439200.483452,-5165.388149,cross,10,
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,AERO,-2000000.0,0.671162,1341560.0,764.317064,cross,3,2.6701151544
0xbf732ea04197942783e34730ed6e0f6099575d58,ZEC,-5000.0,1514.3261,7513396.0,58234.92,cross,10,2612.3247040406
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,BTC,7.69908,84028.5,649240.31916,2297.516714,cross,20,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,ETH,39.2887,2672.94,105026.55284,9.884798,cross,20,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,ATOM,134942.86,1.7571,227675.593392,-9435.89618,cross,5,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,DYDX,-1446927.7,0.13556,183528.309468,12623.413085,cross,5,4.8566549005
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,SOL,1107.52,114.056,126611.6864,292.325251,cross,20,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,AVAX,-5261.11,10.5982,54205.21633,1553.421951,cross,10,1373.055476351
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,BNB,443.632,780.439,339888.6568,-6339.150588,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,APE,-526878.7,0.15504,78230.949376,3458.538413,cross,5,13.1376180983
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,OP,428753.0,0.12532,52758.05665,-973.819935,cross,5,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,LTC,424.07,61.0178,25867.42186,-8.433557,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,ARB,290966.5,0.21944,63512.16762,-340.2554,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,DOGE,96768.0,0.093108,8923.267584,-86.617411,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,INJ,-25497.7,8.01827,195184.8935,9262.605574,cross,5,276.0596088613
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,SUI,-159263.7,1.00205,152845.37289,6746.107892,cross,10,45.9768048447
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,kPEPE,32050839.0,0.004483,139773.708879,-3921.383572,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,CRV,-568767.6,0.34293,183581.118252,11470.430024,cross,10,12.9282536472
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,LDO,-33841.5,0.40795,12950.46522,855.28879,cross,5,202.6107194002
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,LINK,9697.9,12.34733,118721.6918,-1021.488809,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,STX,-228923.2,0.32965,70540.394848,4925.906803,cross,5,30.2033196732
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,CFX,-4261836.0,0.050783,218717.42352,-2285.55842,cross,5,1.6571303117
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,GMX,-12887.62,7.8289,101277.36177,-381.020326,cross,3,508.5430028616
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,SNX,-61564.1,0.2435,14427.546835,563.811409,cross,3,105.0459465761
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,XRP,352996.0,1.496844,525575.7444,-2804.333924,cross,20,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,BCH,252.735,342.334,85113.56595,-1406.350926,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,APT,60994.92,0.7671,46081.66206,-712.820524,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,AAVE,-498.24,143.1168,68841.8208,2464.703333,cross,10,14528.0035758976
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,COMP,-2571.61,22.707,55567.34888,2826.315885,cross,5,2682.8591988061
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,WLD,181372.8,0.4056,73532.160576,-34.016867,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,YGG,-123736.0,0.026838,3204.638664,116.244719,cross,3,52.1742762933
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,TRX,163741.0,0.339711,55760.36014,135.59748,cross,10,
0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,kSHIB,-4080108.0,0.005983,22824.124152,1588.957198,cross,10,1.7160944013
