address,coin,szi,entryPx,positionValue,unrealizedPnl,leverage_type,leverage,liquidationPx
0xab7fb756330e3983e676f44c03dabda9120aa273,BTC,27.91699,81047.4,2354295.6006800001,91696.08459,isolated,40,77967.8465720124
0xab7fb756330e3983e676f44c03dabda9120aa273,ETH,173.152,2523.65,465138.2176,28162.93485,isolated,10,2156.3240496317
0xab7fb756330e3983e676f44c03dabda9120aa273,SOL,13409.58,108.6288,1564629.7944,107962.21241,isolated,20,102.6871577706
0xab7fb756330e3983e676f44c03dabda9120aa273,XRP,117183.0,1.360912,179594.6658,20118.893819,isolated,10,1.1205375379
0x94268549632dd67121e1bbe5acc3e6d375c62a91,BTC,0.14293,84032.7,12051.28588,40.484116,cross,40,
0x94268549632dd67121e1bbe5acc3e6d375c62a91,SOL,-46.2,114.6407,5389.692,-93.2907,cross,20,993.928418752
0x94268549632dd67121e1bbe5acc3e6d375c62a91,DOGE,20874.0,0.093454,2000.87727,50.104309,cross,10,
0x94268549632dd67121e1bbe5acc3e6d375c62a91,XRP,-4620.0,1.489121,7078.764,-199.021819,cross,20,10.3048841875
0x94268549632dd67121e1bbe5acc3e6d375c62a91,UNI,34.5,9.22445,318.79311,0.54933,cross,10,
0x94268549632dd67121e1bbe5acc3e6d375c62a91,ETHFI,-903.2,0.67356,615.061136,-6.701426,cross,5,42.4949806939
0x94268549632dd67121e1bbe5acc3e6d375c62a91,XLM,-13940.0,0.204859,2968.523,-112.778144,cross,5,2.9221612932
0x94268549632dd67121e1bbe5acc3e6d375c62a91,HYPE,-52.27,92.599,4869.4732,-29.320491,cross,10,850.0914269316
0x94268549632dd67121e1bbe5acc3e6d375c62a91,VVV,-64.35,30.501,2024.25795,-61.517797,cross,3,584.8109256743
0x94268549632dd67121e1bbe5acc3e6d375c62a91,PUMP,-195841.0,0.003935,759.667239,11.079224,cross,10,0.2059041412
0x94268549632dd67121e1bbe5acc3e6d375c62a91,WLFI,-5749.0,0.057751,323.335258,8.680259,cross,5,6.6254549808
0x94268549632dd67121e1bbe5acc3e6d375c62a91,ZEC,0.21,1569.712,323.993502,-5.646018,cross,10,
0xd216b10a9e454d4df64504af8b1498a70d6f09b9,TAO,100.0,280.0,29877.0,1877.0,cross,5,
0xd216b10a9e454d4df64504af8b1498a70d6f09b9,HYPE,1000.0,82.548,93160.0,10611.932679,cross,10,19.4977288989
0xd216b10a9e454d4df64504af8b1498a70d6f09b9,ZEC,25.0,1474.3736,38570.655,1711.314,cross,10,
0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,UNI,35368.3,8.06609,326467.09315,41183.19081,cross,2,
0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,NEAR,358553.8,3.60795,1675988.02734,382343.501741,cross,2,
0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,ENA,3276238.0,0.216741,721656.94426,11560.279522,cross,2,
0x89c0fee4b7ca37711219092cd1c0d2b4f7af87c1,LIT,77993.0,5.203907,410199.035962,4330.716262,cross,2,
0x4c6d679eac539bf7c5a0b7ebd8949ae93b1e5ee9,XMR,-2857.714,536.862,1597462.1259999999,-63263.87708,cross,3,767.0987850111
