ts_utc,group,coin,n_accounts,n_long,n_short,long_usd,short_usd,net_usd,tilt,breadth
2026-09-24 14:01,SMART,BTC,200,35,8,122850200.07,8084172.11,114766027.96,0.8765,0.6279
2026-09-24 14:01,SMART,ETH,200,28,8,117834480.02,21236637.0,96597843.02,0.6946,0.5556
2026-09-24 14:01,SMART,SOL,200,10,2,849024.63,1883810.24,-1034785.62,-0.3786,0.6667
2026-09-24 14:01,SMART,HYPE,200,35,10,17815435.97,7013295.51,10802140.46,0.4351,0.5556
2026-09-24 14:01,SMART,XRP,200,8,5,1184687.6,1896659.82,-711972.22,-0.2311,0.2308
2026-09-24 14:01,SMART,BNB,200,5,0,344150.49,0.0,344150.49,1.0,1.0
2026-09-24 14:01,DUMB,BTC,200,27,23,33763150.21,68170713.85,-34407563.64,-0.3375,0.08
2026-09-24 14:01,DUMB,ETH,200,17,14,10953982.42,5372475.87,5581506.55,0.3419,0.0968
2026-09-24 14:01,DUMB,SOL,200,11,11,14443752.23,5514244.44,8929507.8,0.4474,0.0
2026-09-24 14:01,DUMB,HYPE,200,24,20,17605327.01,13950767.49,3654559.52,0.1158,0.0909
2026-09-24 14:01,DUMB,XRP,200,5,2,265096.98,635228.35,-370131.37,-0.4111,0.4286
2026-09-24 14:01,DUMB,BNB,200,5,6,243593.09,468167.13,-224574.05,-0.3155,-0.0909
2026-09-24 16:31,SMART,BTC,200,31,10,102391316.24,8325386.46,94065929.78,0.8496,0.5122
2026-09-24 16:31,SMART,ETH,200,28,8,118887611.25,22417584.88,96470026.37,0.6827,0.5556
2026-09-24 16:31,SMART,SOL,200,10,2,881979.12,1918227.72,-1036248.6,-0.3701,0.6667
2026-09-24 16:31,SMART,HYPE,200,34,10,18375099.21,7178830.35,11196268.86,0.4381,0.5455
2026-09-24 16:31,SMART,XRP,200,8,5,1165522.11,1927870.01,-762347.9,-0.2464,0.2308
2026-09-24 16:31,SMART,BNB,200,5,0,346737.39,0.0,346737.39,1.0,1.0
2026-09-24 16:31,DUMB,BTC,200,25,24,33703282.57,67943614.44,-34240331.87,-0.3369,0.0204
2026-09-24 16:31,DUMB,ETH,200,17,14,11077831.4,6252710.15,4825121.24,0.2784,0.0968
2026-09-24 16:31,DUMB,SOL,200,10,12,14694950.9,5948031.06,8746919.84,0.4237,-0.0909
2026-09-24 16:31,DUMB,HYPE,200,25,20,19940018.79,14205194.03,5734824.77,0.168,0.1111
2026-09-24 16:31,DUMB,XRP,200,6,2,340037.8,644634.01,-304596.21,-0.3093,0.5
2026-09-24 16:31,DUMB,BNB,200,5,6,245314.41,471207.19,-225892.78,-0.3153,-0.0909
2026-09-24 20:27,SMART,BTC,200,31,12,101626665.95,11854982.78,89771683.17,0.7911,0.4419
2026-09-24 20:27,SMART,ETH,200,29,11,119158961.64,23757568.01,95401393.63,0.6675,0.45
2026-09-24 20:27,SMART,SOL,200,10,2,797926.52,1913144.34,-1115217.83,-0.4114,0.6667
2026-09-24 20:27,SMART,HYPE,200,32,12,18291670.33,7971194.95,10320475.38,0.393,0.4545
2026-09-24 20:27,SMART,XRP,200,8,5,1188244.52,1928062.65,-739818.14,-0.2374,0.2308
2026-09-24 20:27,SMART,BNB,200,5,0,344470.32,0.0,344470.32,1.0,1.0
2026-09-24 20:27,DUMB,BTC,200,27,23,33334661.38,67575082.57,-34240421.19,-0.3393,0.08
2026-09-24 20:27,DUMB,ETH,200,19,13,11151176.47,6241455.67,4909720.8,0.2823,0.1875
2026-09-24 20:27,DUMB,SOL,200,10,13,17086557.78,5899265.93,11187291.85,0.4867,-0.1304
2026-09-24 20:27,DUMB,HYPE,200,24,20,21503680.59,14292384.51,7211296.08,0.2015,0.0909
2026-09-24 20:27,DUMB,XRP,200,6,2,341095.76,647152.74,-306056.98,-0.3097,0.5
2026-09-24 20:27,DUMB,BNB,200,5,6,243963.37,468378.87,-224415.49,-0.315,-0.0909
2026-09-24 20:32,SMART,BTC,200,31,12,101626454.95,11854803.4,89771651.55,0.7911,0.4419
2026-09-24 20:32,SMART,ETH,200,29,11,119212709.97,23768607.75,95444102.22,0.6675,0.45
2026-09-24 20:32,SMART,SOL,200,10,2,797987.88,1913253.97,-1115266.09,-0.4113,0.6667
2026-09-24 20:32,SMART,HYPE,200,32,12,18290908.55,7969363.94,10321544.61,0.393,0.4545
2026-09-24 20:32,SMART,XRP,200,8,5,1187905.84,1927494.24,-739588.4,-0.2374,0.2308
2026-09-24 20:32,SMART,BNB,200,5,0,344124.1,0.0,344124.1,1.0,1.0
2026-09-24 20:32,DUMB,BTC,200,27,23,33314698.34,67520124.9,-34205426.56,-0.3392,0.08
2026-09-24 20:32,DUMB,ETH,200,19,13,11141197.7,6234902.72,4906294.98,0.2824,0.1875
2026-09-24 20:32,DUMB,SOL,200,10,13,17077651.29,5892578.99,11185072.3,0.4869,-0.1304
2026-09-24 20:32,DUMB,HYPE,200,24,20,21488429.31,14282124.68,7206304.63,0.2015,0.0909
2026-09-24 20:32,DUMB,XRP,200,6,2,340661.57,645968.09,-305306.52,-0.3094,0.5
2026-09-24 20:32,DUMB,BNB,200,5,6,243560.8,467387.06,-223826.26,-0.3148,-0.0909
2026-09-25 00:34,SMART,BTC,200,27,15,13483448.18,13844676.97,-361228.8,-0.0132,0.2857
2026-09-25 00:34,SMART,ETH,200,23,13,4854553.27,3002515.29,1852037.98,0.2357,0.2778
2026-09-25 00:34,SMART,SOL,200,8,3,512787.85,662586.6,-149798.75,-0.1274,0.4545
2026-09-25 00:34,SMART,HYPE,200,35,11,16042614.76,4913504.26,11129110.5,0.5311,0.5217
2026-09-25 00:34,SMART,XRP,200,9,3,657145.23,730679.01,-73533.78,-0.053,0.5
2026-09-25 00:34,SMART,BNB,200,7,2,536355.27,181232.71,355122.56,0.4949,0.5556
2026-09-25 00:34,DUMB,BTC,200,25,26,59516416.95,72353817.28,-12837400.33,-0.0973,-0.0196
2026-09-25 00:34,DUMB,ETH,200,17,16,10398318.92,53821680.34,-43423361.42,-0.6762,0.0303
2026-09-25 00:34,DUMB,SOL,200,11,15,16873484.29,6655737.55,10217746.74,0.4343,-0.1538
2026-09-25 00:34,DUMB,HYPE,200,24,18,16317836.56,7753596.38,8564240.18,0.3558,0.1429
2026-09-25 00:34,DUMB,XRP,200,6,4,344438.77,1038270.66,-693831.89,-0.5018,0.2
2026-09-25 00:34,DUMB,BNB,200,5,4,243775.13,474673.38,-230898.25,-0.3214,0.1111
2026-09-25 00:38,SMART,BTC,200,27,15,13482950.85,13843272.28,-360321.43,-0.0132,0.2857
